ORG ID Code,Name,PhysicalAddress,PhysicalAddress1,PhysicalCountry,PhysicalState,PhysicalCity,PhysicalZipCode,MailingAddress,MailingAddress1,MailingCountry,MailingState,MailingZipCode,Phone,Fax,Import Status,Reason,
06,"Richland, WA","507 Knight St, Suite A",,USA,Washington,Richland,99352,,,,,,(509) 943-7900,(509) 943-7901,Success,Addedd Successfully,
33,"Sacramento, CA",730 Howe Ave,STE 700,USA,California,Sacramento,95825,,,,,,(916) 634-4765,,Success,Addedd Successfully,
19,"Salt Lake City, UT",764 E Winchester St,,USA,Utah,Salt Lake City,84107,,,,,,,,Success,Addedd Successfully,
24,"San Antonio, TX","901 NE Loop 410, Suite 706",,USA,Texas,San Antonio,78209,,,,,,(210) 601-9638,,Success,Addedd Successfully,
,"San Diego, CA - US DOD SPAWAR Site",Naval Base Pt. Loma -- SPAWAR PacSys,49620 Beluga Rd -- Bldg 68,USA,California,San Diego,92152,,,,,,,,Fail,Office Code is empty,
14,"San Diego, CA","3990 Old Town Ave, STE C102",,USA,California,San Diego,92110,,,,,,(619) 278-4087,,Success,Addedd Successfully,
18,"Seattle, WA","801 2nd Ave, Suite 310",,USA,Washington,Seattle,98104,,,,,,(206) 823-3394,(206) 823-3399,Success,Addedd Successfully,
,"Crescent Junction, UT - US DOE Site",0.15 County Rd 223,,USA,Utah,Thompson Springs,84540,,,,,,(435) 564-3425,,Fail,Office Code is empty,
,"Washington, DC - US DOE D.C. Forrestal Bldg.",U.S. Department of Energy,"1000 Independence Ave, SWJames V. Forrestal Building",USA,District of Columbia,Washington,20585,,,,,,,,Fail,Office Code is empty,
,"Washington, DC - National Defense University",National Defense University,"300 5th Ave, S.W.Fort Lesley J. McNair",USA,District of Columbia,Washington,20319-5066,,,,,,,,Fail,Office Code is empty,
02,"Wasilla, AK",3050 Cottle Loop,,USA,Alaska,Wasilla,99654,,,,,,(907) 290-8222,,Success,Updated Successfully,
,"West Valley, NY - US DOE Site",U.S. Department of Energy,10282 Rock Springs Rd,USA,New York,West Valley,14171-9702,,,,,,,,Fail,Office Code is empty,
07,"White Sands, NM - US DOD WSMR Site",9c Contractor Row,,USA,New Mexico,White Sands Missile Range,88002,P.O. Box 10,,USA,NM,88002,(575) 647-4221,,Success,Addedd Successfully,
11,"Yuma, AZ","291 S Main St, Suite L",,USA,Arizona,Yuma,85364,"291 S Main St, Suite L",,USA,Arizona,85364,,,Success,Addedd Successfully,
,"Yuma, AZ - US DOD YPG Site",301 C St,Bldg. 105,USA,Arizona,Yuma (YPG),85365,,,,,,(928) 328-2630,(928) 328-6253,Fail,Office Code is empty,
