ProjectNumber,ModNumber,ModTitle,POPStart,POPEnd,AwardAmount,FundingAmount,Action,Import Status,Reason,
002764.100.10,0,NULL,2014-08-06T00:00:00,2015-07-01T00:00:00,0,80000.00, ,Success,Added successfully,
002764.100.10,1,"Mod allows use of excavator, no increase to duration or overall price",10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002764.100.10,2,Mod 2 revises the SOW.  No cost change.,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002764.100.11,0,NULL,2014-09-22T00:00:00,2014-11-21T00:00:00,0,73780.02, ,Success,Added successfully,
002764.100.11,1,Mod 1 extends the completion date to 7/31/15.,2014-09-22T00:00:00,2015-07-31T00:00:00,0,0, ,Success,Added successfully,
002764.100.11,2,Mod 2 extends the completion date to 12/31/15.,2014-09-22T00:00:00,2015-12-31T00:00:00,0,0, ,Success,Added successfully,
002764.100.11,3,Mod 3 extends the POP to 12/31/2016.,2014-09-22T00:00:00,2016-12-31T00:00:00,0,0, ,Success,Added successfully,
002764.100.11,4,Mod 4 extends the POP to 12/31/17 at no additional cost.,2014-09-22T00:00:00,2017-12-31T00:00:00,0,0, ,Success,Added successfully,
002764.100.11,5,Mod 5 is a no cost administrative change for the BLM CO.  The CO is now Donald Vicena.,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002764.100.11,6,"Mod 11 reduces the Contract by - $96.36 to close out the Contract at $73,683.66.",10/18/2019,10/18/2019,0,-96.36, ,Success,Added successfully,
002764.100.12,0,NULL,2014-09-22T00:00:00,2014-11-21T00:00:00,0,48160.77, ,Success,Added successfully,
002764.100.12,1,Mod 1 is a no cost change that allows a hammer attachment to the excavator.,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002764.100.12,2,"Mod 2 reduces the contract by -$14,279.31 to close out the contract.",10/18/2019,10/18/2019,0,-14279.31, ,Success,Added successfully,
002764.100.13,0,NULL,2014-09-15T00:00:00,2014-11-21T00:00:00,0,23448.94, ,Success,Added successfully,
002764.100.13,1,Mod 1 reduces the contract by -$7.42 to close out the contract.,10/18/2019,10/18/2019,0,-7.42, ,Success,Added successfully,
002764.100.14,0,Bill Kirby Krapf by credit card.,2014-12-03T00:00:00,2015-01-15T00:00:00,0,600.00, ,Success,Added successfully,
002764.100.15,0,NULL,2015-04-03T00:00:00,2015-09-30T00:00:00,0,5000.00, ,Success,Added successfully,
002764.100.15,1,De-obligated funds to match amount billed and paid by the client. ,10/18/2019,10/18/2019,0,-1685.00, ,Success,Added successfully,
002764.100.16,0,NULL,2015-04-09T00:00:00,2015-12-19T00:00:00,0,18000.00, ,Success,Added successfully,
002764.100.16,1,De-obligated funds to match the amount billed and paid by the client. ,10/18/2019,10/18/2019,0,-3141.57, ,Success,Added successfully,
002764.100.17,0,NULL,2015-05-11T00:00:00,2015-09-30T00:00:00,0,8444.59, ,Success,Added successfully,
002764.100.17,1,"Administrative modification to match the amount billed and paid by the client. Mod 1 issued 9/21/15 to reduce the contract to $2,801.37.",10/18/2019,10/18/2019,0,-5643.22, ,Success,Added successfully,
002764.100.18,0,NULL,2015-06-11T00:00:00,2015-07-31T00:00:00,0,2500.00, ,Success,Added successfully,
002764.100.19,0,NULL,2015-07-30T00:00:00,2015-08-07T00:00:00,0,12219.42, ,Success,Added successfully,
002764.100.20,0,NULL,2015-08-20T00:00:00,2015-08-31T00:00:00,0,3480.00, ,Success,Added successfully,
002764.100.20,Admin,Funds have been de-obligated to match the amount billed to and paid by the client. ,10/18/2019,10/18/2019,0,-1277.76, ,Success,Added successfully,
002764.100.21,0,NULL,2015-06-29T00:00:00,2016-04-02T00:00:00,0,8374.08, ,Success,Added successfully,
002764.100.22,0,NULL,2015-09-09T00:00:00,2015-11-06T00:00:00,0,316644.65, ,Success,Added successfully,
002764.100.22,Admin,NULL,10/18/2019,10/18/2019,0,-104316.68, ,Fail,Duplicate Mod Title,
002764.100.23,0,NULL,2015-09-01T00:00:00,2016-05-30T00:00:00,0,34000.00, ,Success,Added successfully,
002764.100.24,0,NULL,2016-06-27T00:00:00,2016-07-27T00:00:00,0,8263.00, ,Success,Added successfully,
002764.100.24,1,"Mod 1 de-obligates $3,333.79 to close out the project at $4,929.21.",10/18/2019,10/18/2019,0,-3333.79, ,Success,Added successfully,
002764.100.25,0,NULL,2016-07-18T00:00:00,2016-09-30T00:00:00,0,21416.35, ,Success,Added successfully,
002764.100.26,0,NULL,2016-08-30T00:00:00,2016-12-30T00:00:00,0,234724.34, ,Success,Added successfully,
002764.100.26,1,"Mod 1 reduces the task by -$146,720.31 to the final amount of $88,004.03.",10/18/2019,10/18/2019,0,-146720.31, ,Success,Added successfully,
002764.100.26,2,Mod 2 is a no cost mod to edit the accounting lines for payment.,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002764.100.27,0,NULL,2016-07-05T00:00:00,2017-02-25T00:00:00,0,89491.82, ,Success,Added successfully,
002764.100.27,1,Mod 1 is a no cost change to extend the POP to 4/30/17.,2016-07-05T00:00:00,2017-04-30T00:00:00,0,0, ,Success,Added successfully,
002764.100.28,0,NULL,2016-09-14T00:00:00,2016-12-31T00:00:00,0,5000.00, ,Success,Added successfully,
002764.100.29,0,NULL,2016-09-26T00:00:00,2016-11-15T00:00:00,0,45064.60, ,Success,Added successfully,
002764.100.29,1,Mod 1 extends the POP to 11/18/2017 at no additional cost.,2016-09-26T00:00:00,2017-11-18T00:00:00,0,0, ,Success,Added successfully,
002764.100.29,2,Mod 2 is a no cost administrative mod to change the BLM CO to Don Vicena.,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002764.100.29,3,"Mod 3 adds $33,663.52.",10/18/2019,10/18/2019,0,33663.52, ,Success,Added successfully,
002764.100.29,4,"Mod 4 de-obligates -$13,975.49 from Mod 3 SOW.  Closes out Contract at $64,752.63.",10/18/2019,10/18/2019,0,-13975.49, ,Success,Added successfully,
002764.100.30,0,NULL,2016-09-20T00:00:00,2016-10-31T00:00:00,0,2500.00, ,Success,Added successfully,
002764.100.31,0,NULL,2016-09-02T00:00:00,2016-11-30T00:00:00,0,9330.95, ,Success,Added successfully,
002764.100.31,1,Mod 1 is a no cost mod to extend the POP to 1/31/17.,2016-09-02T00:00:00,2017-01-31T00:00:00,0,0, ,Success,Added successfully,
002764.100.31,2,"Mod 2 de-obligates -$1,573.28 to close out the project at $7,757.67.",10/18/2019,10/18/2019,0,-1573.28, ,Success,Added successfully,
002764.100.32,0,"this replaces 40093.100.01.  Added the actual award L17PB00379 and corrected the final amount of the project to $7,889.55.",2017-05-26T00:00:00,2017-06-30T00:00:00,,7889.55, ,Fail,Contract doesn't exist,
002764.100.33,0,NULL,2017-06-26T00:00:00,2017-08-31T00:00:00,0,7538.24, ,Success,Added successfully,
002764.100.33,1,Mod 1 extends the POP through 10/31/17 at no additional cost.,2017-06-26T00:00:00,2017-10-31T00:00:00,0,0, ,Success,Added successfully,
002764.100.34,0,NULL,2017-08-25T00:00:00,2017-09-10T00:00:00,0,5400.00, ,Success,Added successfully,
002764.100.34,1,Mod 1 extends the PoP to 12/22/17 at no additional cost. ,2017-08-25T00:00:00,2017-12-22T00:00:00,0,0, ,Success,Added successfully,
002764.100.35,0,NULL,2017-08-16T00:00:00,2017-09-30T00:00:00,,13093.24, ,Fail,Contract doesn't exist,
002764.100.35,1,"Mod 1 de-obligates -$2,737.70 to close out the project at $10,355.54.",NULL,NULL,,-2737.70, ,Fail,Contract doesn't exist,
002764.100.36,0,"The actual award amount is $1,957.73.  The award was corrected to this amount on 1/4/2018.",2017-08-17T00:00:00,2017-10-31T00:00:00,0,1957.73, ,Success,Added successfully,
002764.130.01,0,NULL,2014-05-30T00:00:00,2014-07-02T00:00:00,0,35039.00, ,Success,Added successfully,
002764.130.02,0,NULL,2015-03-18T00:00:00,2015-12-31T00:00:00,0,65959.83, ,Success,Added successfully,
002764.130.02,1,Mod 1 extends the POP through 9/30/2016 at no additional cost. ,2015-03-18T00:00:00,2016-09-30T00:00:00,0,0, ,Success,Added successfully,
002764.130.02,2,Mod 2 was issued to close out the project.,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002764.130.03,0,NULL,2015-08-10T00:00:00,2015-11-30T00:00:00,0,9182.85, ,Success,Added successfully,
002764.130.04,0,NULL,2015-09-14T00:00:00,2015-09-30T00:00:00,0,22128.47, ,Success,Added successfully,
002764.130.04,1,"Mod 1 reduces the contract by $684.46 to close the project at $21,444.01.",10/18/2019,10/18/2019,0,-684.46, ,Success,Added successfully,
002764.130.05,0,NULL,2015-09-24T00:00:00,2015-10-31T00:00:00,0,88460.77, ,Success,Added successfully,
002764.130.05,1,Mod 1 extends the POP through 9/30/2016 at no additional cost.,2015-09-23T00:00:00,2016-09-30T00:00:00,0,0, ,Success,Added successfully,
002764.130.05,2,"Mod 2 decreases the contract by -$33,405.77 to the final contract amount of $55,055.00.",10/18/2019,10/18/2019,0,-33405.77, ,Success,Added successfully,
002764.130.06,0,NULL,2016-03-14T00:00:00,2016-04-15T00:00:00,0,9527.00, ,Success,Added successfully,
002764.130.07,0,NULL,2016-09-15T00:00:00,2016-12-31T00:00:00,0,20000.00, ,Success,Added successfully,
002764.130.08,0,NULL,2016-12-20T00:00:00,2017-01-31T00:00:00,0,2500.00, ,Success,Added successfully,
002764.130.09,0,NULL,2017-03-22T00:00:00,2017-04-21T00:00:00,0,18799.86, ,Success,Added successfully,
002764.130.10,0,NULL,2017-04-06T00:00:00,2017-05-31T00:00:00,0,2500.00, ,Success,Added successfully,
002764.130.11,0,NULL,2017-07-13T00:00:00,2017-08-31T00:00:00,0,5000.00, ,Success,Added successfully,
002764.130.12,0,NULL,2017-08-30T00:00:00,2017-09-29T00:00:00,0,5143.36, ,Success,Added successfully,
002764.130.13,0,Added the Contract Award .  IPP charge code is 140L3018F0002.,2018-02-05T00:00:00,2018-03-31T00:00:00,0,5000.00, ,Success,Added successfully,
002764.130.13,1,NULL,10/18/2019,10/18/2019,0,-2020.07, ,Success,Added successfully,
002764.140.01,0,NULL,2018-07-28T00:00:00,2018-07-28T00:00:00,0,18987.76, ,Success,Added successfully,
002764.200.01,0,NULL,2014-03-31T00:00:00,2014-05-30T00:00:00,0,2500.00, ,Success,Added successfully,
002764.200.01,1,"Mod 1 increases the total price to $3,614.15.",10/18/2019,10/18/2019,0,1114.15, ,Success,Added successfully,
002764.200.012,0,NULL,2016-07-25T00:00:00,2016-10-31T00:00:00,0,10000.00, ,Success,Added successfully,
002764.200.012,1,"Mod1 adds $3,383.99 to close out the project at $13,383.99.",10/18/2019,10/18/2019,0,3383.99, ,Success,Added successfully,
002764.200.02,0,NULL,2014-05-28T00:00:00,2014-06-30T00:00:00,0,4500.00, ,Success,Added successfully,
002764.200.02,1,"Mod 1 corrects the award amount to the total price of $7,424.00.",10/18/2019,10/18/2019,0,2924.00, ,Success,Added successfully,
002764.200.03,1,NULL,2014-07-15T00:00:00,2014-12-12T00:00:00,0,14022.14, ,Success,Added successfully,
002764.200.03,1,NULL,10/18/2019,10/18/2019,0,-5717.38, ,Success,Updated successfully,
002764.200.04,0,NULL,2015-01-26T00:00:00,2015-03-31T00:00:00,0,2500.00, ,Success,Added successfully,
002764.200.04,1,"Admin mod, adjusted funded value to match what was billed and paid by client.",10/18/2019,10/18/2019,0,-1765.15, ,Success,Added successfully,
002764.200.05,0,This is for the actual barrel cleanup.,2015-02-06T00:00:00,2015-05-31T00:00:00,0,13500.00, ,Success,Added successfully,
002764.200.05,1,de-obligated funds to match billed amount.,10/18/2019,10/18/2019,0,-5726.15, ,Success,Added successfully,
002764.200.06,0,NULL,2015-09-17T00:00:00,2015-10-17T00:00:00,0,5980.00, ,Success,Added successfully,
002764.200.06,Admin,Funds have been de-obligated to match the amount billed to and paid by the client,10/18/2019,10/18/2019,0,-1374.74, ,Success,Added successfully,
002764.200.07,0,NULL,2015-09-24T00:00:00,2015-10-31T00:00:00,0,6565.06, ,Success,Added successfully,
002764.200.07,Admin,Funds have been de-obligated to match the amount billed to and paid by the client,10/18/2019,10/18/2019,0,-1308.94, ,Success,Added successfully,
002764.200.08,0,NULL,2016-01-01T00:00:00,2016-02-15T00:00:00,0,8296.18, ,Success,Added successfully,
002764.200.08,1,Mod 1 extends the POP to 5/31/16 at no additional cost.,2016-01-01T00:00:00,2016-05-31T00:00:00,0,0, ,Success,Added successfully,
002764.200.09,0,NULL,2016-03-29T00:00:00,2016-05-31T00:00:00,0,8292.95, ,Success,Added successfully,
002764.200.09,1,Mod 1 adds $300.00.,10/18/2019,10/18/2019,0,300.00, ,Success,Added successfully,
002764.200.10,0,NULL,2016-05-02T00:00:00,2016-05-31T00:00:00,0,2500.00, ,Success,Added successfully,
002764.200.11,0,NULL,2016-06-13T00:00:00,2016-06-30T00:00:00,0,2500.00, ,Success,Added successfully,
002764.200.13,0,NULL,2016-08-16T00:00:00,2017-07-31T00:00:00,0,6881.40, ,Success,Added successfully,
002764.200.14,0,NULL,2016-09-01T00:00:00,2016-10-31T00:00:00,0,8159.12, ,Success,Added successfully,
002764.200.15,0,NULL,2017-02-16T00:00:00,2017-05-31T00:00:00,0,11917.00, ,Success,Added successfully,
002764.200.15,1,Mod 1 extends the POP to 9/30/17 at no additional cost.,2017-02-16T00:00:00,2017-09-30T00:00:00,0,0, ,Success,Added successfully,
002764.200.15,2,"Mod 2 reduces the contract by -$10,512.74 to the final amount of $1,404.26.",10/18/2019,10/18/2019,0,-10512.74, ,Success,Added successfully,
002764.200.16,0,NULL,2017-04-04T00:00:00,2017-05-31T00:00:00,0,2146.22, ,Success,Added successfully,
002764.200.17,0,NULL,2017-04-04T00:00:00,2017-05-31T00:00:00,0,4488.58, ,Success,Added successfully,
002764.200.18,0,NULL,2017-05-08T00:00:00,2017-05-31T00:00:00,0,2500.00, ,Success,Added successfully,
002764.200.18,1,Mod 1 adds $633.59.,10/18/2019,10/18/2019,0,633.59, ,Success,Added successfully,
002764.200.19,0,NULL,2017-06-15T00:00:00,2017-09-15T00:00:00,0,7891.28, ,Success,Added successfully,
002764.200.20,0,NULL,2017-07-06T00:00:00,2017-07-31T00:00:00,0,437.33, ,Success,Added successfully,
002764.200.21,0,NULL,2017-10-17T00:00:00,2017-10-31T00:00:00,0,2000.00, ,Success,Added successfully,
002764.200.22,0,NULL,2017-10-25T00:00:00,2017-12-31T00:00:00,0,1313.46, ,Success,Added successfully,
002764.200.23,0,NULL,2017-11-28T00:00:00,2017-12-31T00:00:00,0,1946.17, ,Success,Added successfully,
002764.300.01,0,NULL,2014-07-15T00:00:00,2014-08-31T00:00:00,0,963.00, ,Success,Added successfully,
002764.300.02,NULL,NULL,10/18/2019,10/18/2019,0,0, ,Success,Added successfully,
002764.300.03,0,NULL,2014-09-04T00:00:00,2015-09-03T00:00:00,0,95147.39, ,Success,Added successfully,
002764.300.03,1,"Mod 1 reduces the contract by $32,075.39 and closes out the contract.",10/18/2019,10/18/2019,0,-32075.39, ,Success,Added successfully,
002764.300.04,0,NULL,2015-06-01T00:00:00,2015-09-30T00:00:00,0,30582.04, ,Success,Added successfully,
002764.300.04,01,de-obligated funds to match billed amount for the project.,10/18/2019,10/18/2019,0,-7262.17, ,Success,Added successfully,
002764.300.05,0,NULL,2015-09-22T00:00:00,2015-12-31T00:00:00,0,7300.00, ,Success,Added successfully,
002764.300.05,Admin,NULL,10/18/2019,10/18/2019,0,-100.00, ,Fail,Duplicate Mod Title,
