ProjectNumber,ModNumber,ModTitle,POPStart,POPEnd,AwardAmount,FundingAmount
002438.013,0,Release 13,2011-01-07T00:00:00,2011-06-30T00:00:00,,98898.00
002438.013,2,extends period of performance,2011-01-07T00:00:00,2011-12-07T00:00:00,,26102.00
002438.013,3,(509) 375-2966,2011-01-07T00:00:00,2012-09-28T00:00:00,,NULL
002438.013,4,NULL,NULL,NULL,,10000.00
002438.013,5,"The correct funded amount for this project should be $145,000.  There was an error in the original contract amount, which I have tried to correct.  ",NULL,NULL,,10000.00
002438.015,0,"Release 15, (509) 375-2966",2012-06-12T00:00:00,2012-07-31T00:00:00,,29467.95
002438.015,1,Work Order 15,2012-06-12T00:00:00,2012-09-28T00:00:00,,NULL
002445.003,10,NULL,2007-12-01T00:00:00,2009-09-30T00:00:00,,35750.00
002445.003,11,NULL,2007-12-01T00:00:00,2010-03-30T00:00:00,,71500.00
002445.003,12,NULL,NULL,NULL,,1560.00
002445.003,13,NULL,NULL,NULL,,1330.00
002445.003,14,NULL,NULL,NULL,,142320.00
002445.003,15,This corresponsds to Clinent's Amendment 21 (first 6 Amendments were against 2445.002). For administrative resons we have split this contract between 2445.002 and 2445.003. ***From Tami's spreadsheet: Adds Kurt Thor and Phillip McFee***,NULL,NULL,,NULL
002445.003,16,"Total Value of the Contract is $1,140,051.66, including 2445.002 (value $267,442.76).  So value of this contract/task is $872,608.90.  ***From Tami's spreadsheet: Amount field is zero while 14,000 was already in this field, leaving 14,000 amount there until later resolved.***",2007-12-01T00:00:00,2011-09-30T00:00:00,,14000.00
002445.003,17,NULL,NULL,NULL,,360462.70
002445.003,18,NULL,NULL,NULL,,21246.20
002445.003,19,NULL,2007-12-01T00:00:00,2011-12-31T00:00:00,,NULL
002445.003,20,NULL,2007-12-01T00:00:00,2012-06-29T00:00:00,,74000.00
002445.003,21,NULL,2007-12-01T00:00:00,2012-09-30T00:00:00,,NULL
002445.003,22,NULL,2007-12-01T00:00:00,2012-10-01T00:00:00,,15000.00
002445.003,7,NULL,2009-03-02T00:00:00,2009-09-30T00:00:00,,39000.00
002445.003,8,"161496, Task 3 incorporates new funding and extends period of performance",2007-12-01T00:00:00,2009-09-30T00:00:00,,18000.00
002445.003,9,NULL,NULL,NULL,,11000.00
002445.003,9a,NULL,2007-12-01T00:00:00,2009-08-31T00:00:00,,22000.00
002724.002,0,L10PD02073,2010-05-15T00:00:00,2010-12-31T00:00:00,,40000.00
002724.002,1,L10PD02073,NULL,NULL,,10000.00
002724.002,2,L10PD02073,2010-05-15T00:00:00,2011-09-30T00:00:00,,16000.00
002724.002,3,L10PD02073,NULL,NULL,,19000.00
002724.002,4,GS-10F-0247L,2010-05-15T00:00:00,2012-12-31T00:00:00,,NULL
002724.002,4a,L10PD02073,2010-05-15T00:00:00,2012-09-30T00:00:00,,14000.00
002724.002,5,POP Change Only,2012-09-30T00:00:00,2012-12-31T00:00:00,,NULL
002731,0,AG-0489-D-10-0164,2010-09-03T00:00:00,2013-09-03T00:00:00,,1914113.00
002731,1,AG-0489-D-10-0164,2010-09-03T00:00:00,2013-09-30T00:00:00,,54730.00
002731,2,"AG-0489-D-10-0164, Corrects the contract disignation in IAS from Construction to Service",NULL,NULL,,NULL
002731,3,"AG-0489-D-10-0164, Corrects the contracting Officer, Owner & buyer",NULL,NULL,,NULL
002731,4,"AG-0489-D-10-0164, Corrects the contracting Officer, Owner & buyer",NULL,NULL,,539530.75
002731,5,"AG-0489-D-10-0164, Corrects the contracting Officer, Owner & buyer",NULL,NULL,,48604.52
002735.001,0,AG-02NV-D-10-0069,2011-05-23T00:00:00,2011-09-30T00:00:00,,27405.00
002735.001,1,GS-10F-0247L (208) 756-5279,2011-05-23T00:00:00,2012-09-30T00:00:00,,NULL
002735.001,2,AG-02NV-D-10-0069 (208) 756-5279,NULL,NULL,,2207.00
002735.001,3,Final Release (208) 756-5279,NULL,NULL,,NULL
002735.002,0,"AG-02NV-D-10-0069 (208) 756-5279, Bat Surveys II",2012-05-21T00:00:00,2013-03-31T00:00:00,,40150.00
002737.001,0,"L11PD00883, Limber/Whitebark Pine",2011-07-12T00:00:00,2012-09-30T00:00:00,,67000.00
002747.001,0,NULL,NULL,NULL,,71841.00
002748.001,0,NULL,NULL,NULL,,78691.49
002750.001,0,NULL,NULL,NULL,,8412.13
002750.001,Final,Closeout Checklist,NULL,NULL,,NULL
002751.001,0,NULL,NULL,NULL,,13169.64
002752.001,0,NULL,NULL,NULL,,33252.33
002753,0,There was no mod 3 for this contract.,NULL,NULL,,234374.25
002753,1,Change LOA,NULL,NULL,,NULL
002753,2,Change PWS,NULL,NULL,,NULL
002753,3,PWS Change,NULL,NULL,,NULL
002753,4,NULL,2012-10-31T00:00:00,2012-12-31T00:00:00,,93749.70
002753,5,NULL,2012-12-31T00:00:00,2013-01-31T00:00:00,,45367.45
002754.001,0,NULL,NULL,NULL,,2848.00
002754.001,1,Closeout Checklist,NULL,NULL,,NULL
002762,0,"Reference proposal attachments for SOW, etc...",2013-04-10T00:00:00,2013-08-25T00:00:00,,98146.40
002762,1,NULL,NULL,NULL,,-1164.65
002762,2,Mod 2 - Admin mod to cancel option line item 20.  No change in funding.,NULL,NULL,,NULL
002763,0,NULL,2013-07-19T00:00:00,2014-12-31T00:00:00,,178086.00
002763,1,"Note that Line 21 is to be billed up to 40 yards at $282/yard.  Line 41 is fixed price at $69,734.",2013-07-19T00:00:00,2014-12-31T00:00:00,,81014.00
002763,2,POP Extension only,2013-07-09T00:00:00,2017-12-31T00:00:00,,NULL
002763,3,NULL,NULL,NULL,,-11280.00
002764.100.01,0,NULL,2014-05-12T00:00:00,2014-07-12T00:00:00,,44890.60
002764.100.02,0,NULL,2014-05-21T00:00:00,2014-07-31T00:00:00,,71952.73
002764.100.02,1,De-obligated funding to match what was billed and paid by the client.  Inactivated project on dashboard.  ,NULL,NULL,,-32921.88
002764.100.03,0,"Government contract numbers will need to be input once we receive official contract from the BLM.  Final Price $3,828.33.",2014-06-11T00:00:00,2014-07-31T00:00:00,,3828.33
002764.100.035,0,NULL,2016-08-16T00:00:00,2017-09-30T00:00:00,,13093.24
002764.100.04,0,NULL,2014-07-01T00:00:00,2014-08-15T00:00:00,,12361.10
002764.100.05,0,NULL,2014-07-07T00:00:00,2014-12-31T00:00:00,,86034.67
002764.100.06.pdf,0,NULL,2014-07-14T00:00:00,2014-08-14T00:00:00,,7785.28
002764.100.06.pdf,1,"Mod 1 reduces the contract by -$7,354.98 to close the contract.",NULL,NULL,,-7354.98
002764.100.07,0,NULL,2014-07-15T00:00:00,2014-07-30T00:00:00,,11690.50
002764.100.08,0,NULL,2014-07-10T00:00:00,2014-09-30T00:00:00,,6990.38
002764.100.09,0,NULL,2014-08-11T00:00:00,2014-09-30T00:00:00,,5466.62
002764.100.09,1,NULL,NULL,NULL,,3315.51
002764.100.10,0,NULL,2014-08-06T00:00:00,2015-07-01T00:00:00,,80000.00
002764.100.10,1,"Mod allows use of excavator, no increase to duration or overall price",NULL,NULL,,NULL
002764.100.10,2,Mod 2 revises the SOW.  No cost change.,NULL,NULL,,NULL
002764.100.11,0,NULL,2014-09-22T00:00:00,2014-11-21T00:00:00,,73780.02
002764.100.11,1,Mod 1 extends the completion date to 7/31/15.,2014-09-22T00:00:00,2015-07-31T00:00:00,,NULL
002764.100.11,2,Mod 2 extends the completion date to 12/31/15.,2014-09-22T00:00:00,2015-12-31T00:00:00,,NULL
002764.100.11,3,Mod 3 extends the POP to 12/31/2016.,2014-09-22T00:00:00,2016-12-31T00:00:00,,NULL
002764.100.11,4,Mod 4 extends the POP to 12/31/17 at no additional cost.,2014-09-22T00:00:00,2017-12-31T00:00:00,,NULL
002764.100.11,5,Mod 5 is a no cost administrative change for the BLM CO.  The CO is now Donald Vicena.,NULL,NULL,,NULL
002764.100.11,6,"Mod 11 reduces the Contract by - $96.36 to close out the Contract at $73,683.66.",NULL,NULL,,-96.36
002764.100.12,0,NULL,2014-09-22T00:00:00,2014-11-21T00:00:00,,48160.77
002764.100.12,1,Mod 1 is a no cost change that allows a hammer attachment to the excavator.,NULL,NULL,,NULL
002764.100.12,2,"Mod 2 reduces the contract by -$14,279.31 to close out the contract.",NULL,NULL,,-14279.31
002764.100.13,0,NULL,2014-09-15T00:00:00,2014-11-21T00:00:00,,23448.94
002764.100.13,1,Mod 1 reduces the contract by -$7.42 to close out the contract.,NULL,NULL,,-7.42
002764.100.14,0,Bill Kirby Krapf by credit card.,2014-12-03T00:00:00,2015-01-15T00:00:00,,600.00
002764.100.15,0,NULL,2015-04-03T00:00:00,2015-09-30T00:00:00,,5000.00
002764.100.15,1,De-obligated funds to match amount billed and paid by the client. ,NULL,NULL,,-1685.00
002764.100.16,0,NULL,2015-04-09T00:00:00,2015-12-19T00:00:00,,18000.00
002764.100.16,1,De-obligated funds to match the amount billed and paid by the client. ,NULL,NULL,,-3141.57
002764.100.17,0,NULL,2015-05-11T00:00:00,2015-09-30T00:00:00,,8444.59
002764.100.17,1,"Administrative modification to match the amount billed and paid by the client. Mod 1 issued 9/21/15 to reduce the contract to $2,801.37.",NULL,NULL,,-5643.22
002764.100.18,0,NULL,2015-06-11T00:00:00,2015-07-31T00:00:00,,2500.00
002764.100.19,0,NULL,2015-07-30T00:00:00,2015-08-07T00:00:00,,12219.42
002764.100.20,0,NULL,2015-08-20T00:00:00,2015-08-31T00:00:00,,3480.00
002764.100.20,Admin,Funds have been de-obligated to match the amount billed to and paid by the client. ,NULL,NULL,,-1277.76
002764.100.21,0,NULL,2015-06-29T00:00:00,2016-04-02T00:00:00,,8374.08
002764.100.22,0,NULL,2015-09-09T00:00:00,2015-11-06T00:00:00,,316644.65
002764.100.22,Admin,NULL,NULL,NULL,,-104316.68
002764.100.23,0,NULL,2015-09-01T00:00:00,2016-05-30T00:00:00,,34000.00
002764.100.24,0,NULL,2016-06-27T00:00:00,2016-07-27T00:00:00,,8263.00
002764.100.24,1,"Mod 1 de-obligates $3,333.79 to close out the project at $4,929.21.",NULL,NULL,,-3333.79
002764.100.25,0,NULL,2016-07-18T00:00:00,2016-09-30T00:00:00,,21416.35
002764.100.26,0,NULL,2016-08-30T00:00:00,2016-12-30T00:00:00,,234724.34
002764.100.26,1,"Mod 1 reduces the task by -$146,720.31 to the final amount of $88,004.03.",NULL,NULL,,-146720.31
002764.100.26,2,Mod 2 is a no cost mod to edit the accounting lines for payment.,NULL,NULL,,NULL
002764.100.27,0,NULL,2016-07-05T00:00:00,2017-02-25T00:00:00,,89491.82
002764.100.27,1,Mod 1 is a no cost change to extend the POP to 4/30/17.,2016-07-05T00:00:00,2017-04-30T00:00:00,,NULL
002764.100.28,0,NULL,2016-09-14T00:00:00,2016-12-31T00:00:00,,5000.00
002764.100.29,0,NULL,2016-09-26T00:00:00,2016-11-15T00:00:00,,45064.60
002764.100.29,1,Mod 1 extends the POP to 11/18/2017 at no additional cost.,2016-09-26T00:00:00,2017-11-18T00:00:00,,NULL
002764.100.29,2,Mod 2 is a no cost administrative mod to change the BLM CO to Don Vicena.,NULL,NULL,,NULL
002764.100.29,3,"Mod 3 adds $33,663.52.",NULL,NULL,,33663.52
002764.100.29,4,"Mod 4 de-obligates -$13,975.49 from Mod 3 SOW.  Closes out Contract at $64,752.63.",NULL,NULL,,-13975.49
002764.100.30,0,NULL,2016-09-20T00:00:00,2016-10-31T00:00:00,,2500.00
002764.100.31,0,NULL,2016-09-02T00:00:00,2016-11-30T00:00:00,,9330.95
002764.100.31,1,Mod 1 is a no cost mod to extend the POP to 1/31/17.,2016-09-02T00:00:00,2017-01-31T00:00:00,,NULL
002764.100.31,2,"Mod 2 de-obligates -$1,573.28 to close out the project at $7,757.67.",NULL,NULL,,-1573.28
002764.100.32,0,"this replaces 40093.100.01.  Added the actual award L17PB00379 and corrected the final amount of the project to $7,889.55.",2017-05-26T00:00:00,2017-06-30T00:00:00,,7889.55
002764.100.33,0,NULL,2017-06-26T00:00:00,2017-08-31T00:00:00,,7538.24
002764.100.33,1,Mod 1 extends the POP through 10/31/17 at no additional cost.,2017-06-26T00:00:00,2017-10-31T00:00:00,,NULL
002764.100.34,0,NULL,2017-08-25T00:00:00,2017-09-10T00:00:00,,5400.00
002764.100.34,1,Mod 1 extends the PoP to 12/22/17 at no additional cost. ,2017-08-25T00:00:00,2017-12-22T00:00:00,,NULL
002764.100.35,0,NULL,2017-08-16T00:00:00,2017-09-30T00:00:00,,13093.24
002764.100.35,1,"Mod 1 de-obligates -$2,737.70 to close out the project at $10,355.54.",NULL,NULL,,-2737.70
002764.100.36,0,"The actual award amount is $1,957.73.  The award was corrected to this amount on 1/4/2018.",2017-08-17T00:00:00,2017-10-31T00:00:00,,1957.73
002764.130.01,0,NULL,2014-05-30T00:00:00,2014-07-02T00:00:00,,35039.00
002764.130.02,0,NULL,2015-03-18T00:00:00,2015-12-31T00:00:00,,65959.83
002764.130.02,1,Mod 1 extends the POP through 9/30/2016 at no additional cost. ,2015-03-18T00:00:00,2016-09-30T00:00:00,,NULL
002764.130.02,2,Mod 2 was issued to close out the project.,NULL,NULL,,NULL
002764.130.03,0,NULL,2015-08-10T00:00:00,2015-11-30T00:00:00,,9182.85
002764.130.04,0,NULL,2015-09-14T00:00:00,2015-09-30T00:00:00,,22128.47
002764.130.04,1,"Mod 1 reduces the contract by $684.46 to close the project at $21,444.01.",NULL,NULL,,-684.46
002764.130.05,0,NULL,2015-09-24T00:00:00,2015-10-31T00:00:00,,88460.77
002764.130.05,1,Mod 1 extends the POP through 9/30/2016 at no additional cost.,2015-09-23T00:00:00,2016-09-30T00:00:00,,NULL
002764.130.05,2,"Mod 2 decreases the contract by -$33,405.77 to the final contract amount of $55,055.00.",NULL,NULL,,-33405.77
002764.130.06,0,NULL,2016-03-14T00:00:00,2016-04-15T00:00:00,,9527.00
002764.130.07,0,NULL,2016-09-15T00:00:00,2016-12-31T00:00:00,,20000.00
002764.130.08,0,NULL,2016-12-20T00:00:00,2017-01-31T00:00:00,,2500.00
002764.130.09,0,NULL,2017-03-22T00:00:00,2017-04-21T00:00:00,,18799.86
002764.130.10,0,NULL,2017-04-06T00:00:00,2017-05-31T00:00:00,,2500.00
002764.130.11,0,NULL,2017-07-13T00:00:00,2017-08-31T00:00:00,,5000.00
002764.130.12,0,NULL,2017-08-30T00:00:00,2017-09-29T00:00:00,,5143.36
002764.130.13,0,Added the Contract Award .  IPP charge code is 140L3018F0002.,2018-02-05T00:00:00,2018-03-31T00:00:00,,5000.00
002764.130.13,1,NULL,NULL,NULL,,-2020.07
002764.140.01,0,NULL,2018-07-28T00:00:00,2018-07-28T00:00:00,,18987.76
002764.200.01,0,NULL,2014-03-31T00:00:00,2014-05-30T00:00:00,,2500.00
002764.200.01,1,"Mod 1 increases the total price to $3,614.15.",NULL,NULL,,1114.15
002764.200.012,0,NULL,2016-07-25T00:00:00,2016-10-31T00:00:00,,10000.00
002764.200.012,1,"Mod1 adds $3,383.99 to close out the project at $13,383.99.",NULL,NULL,,3383.99
002764.200.02,0,NULL,2014-05-28T00:00:00,2014-06-30T00:00:00,,4500.00
002764.200.02,1,"Mod 1 corrects the award amount to the total price of $7,424.00.",NULL,NULL,,2924.00
002764.200.03,1,NULL,2014-07-15T00:00:00,2014-12-12T00:00:00,,14022.14
002764.200.03,1,NULL,NULL,NULL,,-5717.38
002764.200.04,0,NULL,2015-01-26T00:00:00,2015-03-31T00:00:00,,2500.00
002764.200.04,1,"Admin mod, adjusted funded value to match what was billed and paid by client.",NULL,NULL,,-1765.15
002764.200.05,0,This is for the actual barrel cleanup.,2015-02-06T00:00:00,2015-05-31T00:00:00,,13500.00
002764.200.05,1,de-obligated funds to match billed amount.,NULL,NULL,,-5726.15
002764.200.06,0,NULL,2015-09-17T00:00:00,2015-10-17T00:00:00,,5980.00
002764.200.06,Admin,Funds have been de-obligated to match the amount billed to and paid by the client,NULL,NULL,,-1374.74
002764.200.07,0,NULL,2015-09-24T00:00:00,2015-10-31T00:00:00,,6565.06
002764.200.07,Admin,Funds have been de-obligated to match the amount billed to and paid by the client,NULL,NULL,,-1308.94
002764.200.08,0,NULL,2016-01-01T00:00:00,2016-02-15T00:00:00,,8296.18
002764.200.08,1,Mod 1 extends the POP to 5/31/16 at no additional cost.,2016-01-01T00:00:00,2016-05-31T00:00:00,,NULL
002764.200.09,0,NULL,2016-03-29T00:00:00,2016-05-31T00:00:00,,8292.95
002764.200.09,1,Mod 1 adds $300.00.,NULL,NULL,,300.00
002764.200.10,0,NULL,2016-05-02T00:00:00,2016-05-31T00:00:00,,2500.00
002764.200.11,0,NULL,2016-06-13T00:00:00,2016-06-30T00:00:00,,2500.00
002764.200.13,0,NULL,2016-08-16T00:00:00,2017-07-31T00:00:00,,6881.40
002764.200.14,0,NULL,2016-09-01T00:00:00,2016-10-31T00:00:00,,8159.12
002764.200.15,0,NULL,2017-02-16T00:00:00,2017-05-31T00:00:00,,11917.00
002764.200.15,1,Mod 1 extends the POP to 9/30/17 at no additional cost.,2017-02-16T00:00:00,2017-09-30T00:00:00,,NULL
002764.200.15,2,"Mod 2 reduces the contract by -$10,512.74 to the final amount of $1,404.26.",NULL,NULL,,-10512.74
002764.200.16,0,NULL,2017-04-04T00:00:00,2017-05-31T00:00:00,,2146.22
002764.200.17,0,NULL,2017-04-04T00:00:00,2017-05-31T00:00:00,,4488.58
002764.200.18,0,NULL,2017-05-08T00:00:00,2017-05-31T00:00:00,,2500.00
002764.200.18,1,Mod 1 adds $633.59.,NULL,NULL,,633.59
002764.200.19,0,NULL,2017-06-15T00:00:00,2017-09-15T00:00:00,,7891.28
002764.200.20,0,NULL,2017-07-06T00:00:00,2017-07-31T00:00:00,,437.33
002764.200.21,0,NULL,2017-10-17T00:00:00,2017-10-31T00:00:00,,2000.00
002764.200.22,0,NULL,2017-10-25T00:00:00,2017-12-31T00:00:00,,1313.46
002764.200.23,0,NULL,2017-11-28T00:00:00,2017-12-31T00:00:00,,1946.17
002764.300.01,0,NULL,2014-07-15T00:00:00,2014-08-31T00:00:00,,963.00
002764.300.02,NULL,NULL,NULL,NULL,,NULL
002764.300.03,0,NULL,2014-09-04T00:00:00,2015-09-03T00:00:00,,95147.39
002764.300.03,1,"Mod 1 reduces the contract by $32,075.39 and closes out the contract.",NULL,NULL,,-32075.39
002764.300.04,0,NULL,2015-06-01T00:00:00,2015-09-30T00:00:00,,30582.04
002764.300.04,01,de-obligated funds to match billed amount for the project.,NULL,NULL,,-7262.17
002764.300.05,0,NULL,2015-09-22T00:00:00,2015-12-31T00:00:00,,7300.00
002764.300.05,Admin,NULL,NULL,NULL,,-100.00
002764.300.06,0,NULL,2015-09-24T00:00:00,2016-09-23T00:00:00,,58598.22
002764.300.06,1,"Mod 1 adds $58,598.22.",NULL,NULL,,58598.22
002764.300.06,2,"Mod 2 adds $131,386.94.",NULL,NULL,,131386.94
002764.300.07,0,NULL,2016-05-15T00:00:00,2016-09-30T00:00:00,,7846.70
002764.300.07,1,Mod 1 changes the COR. No cost administrative change.,NULL,NULL,,NULL
002764.300.08,0,"Corrected award amount to $7,464.42.",2016-07-21T00:00:00,2016-08-31T00:00:00,,7464.42
002764.300.08,1,"Mod 1 reduces the Contract by -$820.40 to the final Contract amount of $6,644.02.",2016-07-21T00:00:00,2016-12-31T00:00:00,,-820.40
002764.300.09,0,NULL,2016-09-22T00:00:00,2016-12-31T00:00:00,,41240.19
002764.300.09,1,NULL,NULL,NULL,,-23548.51
002764.400.01,0,NULL,2014-07-10T00:00:00,2014-08-31T00:00:00,,7928.44
002764.400.01,1,Mod 1 is to reduce the costs for this task 400.01to $0.00.  These costs will be added to task 400.02 and billed there.  Task 400.01 will be closed at $0.00.,NULL,NULL,,-7928.44
002764.400.02,0,NULL,2014-08-25T00:00:00,2014-12-31T00:00:00,,68559.79
002764.400.02,1,"Mod 1 adds $6,354.97.",NULL,NULL,,6354.97
002764.400.02,2,"Mod 2 adds $3,760.00 and extends the completion date to 12/31/15.",2014-08-25T00:00:00,2015-12-31T00:00:00,,3760.00
002764.400.03,0,NULL,2015-07-24T00:00:00,2015-12-31T00:00:00,,5000.00
002764.400.03,Admin,NULL,NULL,NULL,,-5000.00
002764.400.04,0,NULL,2015-09-09T00:00:00,2016-09-08T00:00:00,,220000.00
002764.400.04,1,Mod 1 incorporates a revised weekly clean-up rate.,NULL,NULL,,NULL
002764.400.04,2,"Mod 2 adds $100,000.00 and extends the POP to 12/31/16.",2015-09-09T00:00:00,2016-12-31T00:00:00,,100000.00
002764.400.04,3,Mod 3 extends the POP to 10/31/17 at no additional cost.,2015-09-09T00:00:00,2017-10-31T00:00:00,,NULL
002764.400.04,4,"Mod 4 reduces the Contract by -$14,862.55 to the final Contract amount of $305,137.45.",NULL,NULL,,-14862.55
002764.400.05,0,NULL,NULL,NULL,,7064.37
002764.400.05,1,"Mod 1 reduces  the task to closes the task at $5,440.29.",NULL,NULL,,-1624.08
002764.400.06,0,NULL,2015-09-10T00:00:00,2016-09-01T00:00:00,,24459.18
002764.400.07,0,NULL,2015-10-29T00:00:00,2015-11-30T00:00:00,,4405.26
002764.400.08,0,NULL,2016-09-22T00:00:00,2016-12-31T00:00:00,,56694.70
002764.400.08,1,Mod 1 is a no cost mod to extend the POP to 1/24/2017.,2016-09-22T00:00:00,2017-01-24T00:00:00,,NULL
002764.400.08,2,"Mod 2 reduces the Contract by -$47,636.96 to the final Contract amount of $9,057.74.",NULL,NULL,,-47636.96
002764.400.09,0,NULL,2017-04-24T00:00:00,2017-05-31T00:00:00,,2500.00
002764.400.10,0,NULL,2017-05-15T00:00:00,2017-06-30T00:00:00,,5000.00
002764.400.10,1,Mod 1 extends the PoP through 7/30/2018.,2017-05-15T00:00:00,2018-07-30T00:00:00,,NULL
002764.400.11,0,NULL,2017-07-19T00:00:00,2017-09-30T00:00:00,,2500.00
002764.400.12,0,NULL,2017-08-01T00:00:00,2018-07-31T00:00:00,,19200.00
002764.400.12,1,"Mod 1 adds $6,700.00.",NULL,NULL,,6700.00
002764.500.01,0,NULL,2015-03-02T00:00:00,2015-03-31T00:00:00,,13775.97
002764.500.02,0,NULL,2015-04-09T00:00:00,2015-09-30T00:00:00,,14000.00
002764.500.02,1,"Admin mod, adjusted funded value to match what was billed and paid by client.",NULL,NULL,,-671.83
002764.500.03,0,NULL,2015-04-15T00:00:00,2015-06-30T00:00:00,,26879.00
002764.500.04,0,NULL,2015-04-15T00:00:00,2015-05-29T00:00:00,,70000.00
002764.500.04,1,De-obligated funds to match the amount billed and paid by the client. ,NULL,NULL,,-6191.61
002764.500.05,0,"Inputs Award of $741,000.00.",2015-05-18T00:00:00,2015-12-31T00:00:00,,741000.00
002764.500.05,1,"Mod 2 adds $740,722.82.",2015-05-18T00:00:00,2016-03-31T00:00:00,,740722.82
002764.500.05,3,Mod 3 was issued to close out the project.,NULL,NULL,,NULL
002764.500.06,0,NULL,2015-08-21T00:00:00,2015-10-30T00:00:00,,192984.11
002764.500.06,Admin,NULL,NULL,NULL,,-38392.90
002764.500.07,0,NULL,2015-09-22T00:00:00,2016-09-30T00:00:00,,103981.41
002764.500.07,1,NULL,NULL,NULL,,30000.00
002764.500.07,2,Mod 2 was issued to close out the project.,NULL,NULL,,NULL
002764.500.08,0,NULL,2015-09-24T00:00:00,2016-09-30T00:00:00,,39000.00
002764.500.08,1,"Mod 1 was issued to reduce the project by -$14,227.53 from $39,000.00 to the final amount of $24,772.47 and close out the project",NULL,NULL,,-14227.53
002764.500.09,0,NULL,2015-12-04T00:00:00,2015-12-31T00:00:00,,7500.00
002764.500.10,0,NULL,2015-12-29T00:00:00,2016-09-30T00:00:00,,8769.97
002764.500.11,0,NULL,2016-04-07T00:00:00,2016-12-31T00:00:00,,304383.21
002764.500.11,1,Mod 1 is a no cost administrative mod only.,NULL,NULL,,NULL
002764.500.11,2,Mod 2 extends the POP through 5/31/2017 at no additional cost.,2016-04-29T00:00:00,2017-05-31T00:00:00,,NULL
002764.500.11,3,Funds have been adjusted to reflect the actual contract cost. ,2016-04-29T00:00:00,2018-06-15T00:00:00,,193950.30
002764.500.12,0,NULL,2016-05-03T00:00:00,2016-09-30T00:00:00,,13384.68
002764.500.13,0,"02764.500.11 & 02764.500.13 These two subtasks are under the same contract so together they will equal the $668,804.76 funding that we have.",2016-05-05T00:00:00,2016-12-31T00:00:00,,170471.26
002764.500.14,0,NULL,2016-05-10T00:00:00,2016-09-30T00:00:00,,5750.00
002764.500.15,0,NULL,2016-06-21T00:00:00,2016-09-30T00:00:00,,20200.00
002764.500.16,0,NULL,2016-08-02T00:00:00,2016-09-30T00:00:00,,65000.00
002764.500.17,0,NULL,2016-10-01T00:00:00,2017-09-30T00:00:00,,50000.00
002764.500.18,0,NULL,2016-09-08T00:00:00,2017-03-31T00:00:00,,2237586.73
002764.500.18,1,Mod 1 is a no cost administrative mod only.,NULL,NULL,,NULL
002764.500.18,2,Mod 2 extends the POP through 4/30/17 at no additional cost.,2016-09-08T00:00:00,2017-04-30T00:00:00,,NULL
002764.500.18,3,Mod 3 extends the POP through 6/30/17 at no additional cost.,2016-09-08T00:00:00,2017-06-30T00:00:00,,NULL
002764.500.18,4,"Mod 4 reduces the contract by -$1.07 to the final contract price of $2,237,585.66 and closes out the project.",NULL,NULL,,-1.07
002764.500.19,0,NULL,2016-08-12T00:00:00,2016-08-26T00:00:00,,3268.15
002764.500.19,Admin,NULL,NULL,NULL,,-599.10
002764.500.20,0,NULL,2016-08-22T00:00:00,2016-12-31T00:00:00,,70000.00
002764.500.21,0,02764.500.21 is cancelled.  See 02764.500.18 for the project details.,2016-09-08T00:00:00,2017-03-31T00:00:00,,NULL
002764.500.22,0,NULL,2016-09-23T00:00:00,2017-09-30T00:00:00,,117790.58
