Status,Contract Number,Task Order Number,Project Number,IsIDIQ,IsTaskOrder,IsPrime,Subcontract Number,Org ID,Title,Description,Award Amount,Funded Amount,POP Start,POP End,Contract Country,Contract State,NAICS,PSC,CPAR eligible,Competition,Billing Address,Contract Rep,Project Controls Rep,Project Manager,Accounting Rep,Awarding Agency,Award Agency Contract Representative,Awarding Agency Technical Representative,Funding Agency,Funding Agency Contract Representative,Funding Agency Technical Representative,Action,Human Resources Rep,Purchasing Rep,Subcontract Rep
Active,W912DY-15-D-0023,,40063,1,0,1,,04.20.99,FRP Central Region MATOC - W912DY-15-D-0023,,,0,2015-02-06T00:00:00,2020-02-05T00:00:00,USA,KY,238910,,Y,Competed,TBD,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,W912DY-15-D-0023,,40063,1,0,1,,04.20.99,FRP Central Region MATOC - W912DY-15-D-0023,,,0,2015-02-06T00:00:00,2020-02-05T00:00:00,USA,MI,238910,,Y,Competed,TBD,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,W912DY-15-D-0023,,40063,1,0,1,,04.20.99,FRP Central Region MATOC - W912DY-15-D-0023,,,0,2015-02-06T00:00:00,2020-02-05T00:00:00,USA,MS,238910,,Y,Competed,TBD,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,W912DY-15-D-0023,,40063,1,0,1,,04.20.99,FRP Central Region MATOC - W912DY-15-D-0023,,,0,2015-02-06T00:00:00,2020-02-05T00:00:00,USA,NC,238910,,Y,Competed,TBD,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,W912DY-15-D-0023,,40063,1,0,1,,04.20.99,FRP Central Region MATOC - W912DY-15-D-0023,,,0,2015-02-06T00:00:00,2020-02-05T00:00:00,USA,OH,238910,,Y,Competed,TBD,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,W912DY-15-D-0023,,40063,1,0,1,,04.20.99,FRP Central Region MATOC - W912DY-15-D-0023,,,0,2015-02-06T00:00:00,2020-02-05T00:00:00,USA,PR,238910,,Y,Competed,TBD,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,W912DY-15-D-0023,,40063,1,0,1,,04.20.99,FRP Central Region MATOC - W912DY-15-D-0023,,,0,2015-02-06T00:00:00,2020-02-05T00:00:00,USA,SC,238910,,Y,Competed,TBD,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,W912DY-15-D-0023,,40063,1,0,1,,04.20.99,FRP Central Region MATOC - W912DY-15-D-0023,,,0,2015-02-06T00:00:00,2020-02-05T00:00:00,USA,TN,238910,,Y,Competed,TBD,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,FA8903-16-D-0045,,10852,1,0,1,,01.30.99,AFCEE A-E 2013 Environmental Services - MSA,,0,0,2016-03-03T00:00:00,2021-03-02T00:00:00,USA,,562910,,,Competed,WAWF - See contract page 11,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,FA8903-16-D-0045,,10852,1,0,1,,01.30.99,AFCEE A-E 2013 Environmental Services - MSA,,0,0,2016-03-03T00:00:00,2021-03-02T00:00:00,USA,,562910,,,Competed,WAWF - See contract page 11,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,AG-67T0-C-16-0021,,30201,1,0,0,,03.10.99,USDA FS IDIQ 2016 Heritage Services,,,0,2016-07-08T00:00:00,2019-05-31T00:00:00,USA,AZ,541990,,,Competed,www.ipp.gov,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,DJF-16-1200-V-0005040,,30203,1,0,1,,03.30.15,Environmental Service - FBI,,,0,2016-05-24T00:00:00,2017-05-23T00:00:00,USA,DC,541620,,Y,Non-Competed,"Facilities Contracts Unit - Quantico
FBI Academy
Building 12, Room 203
Quantico, VA 22135",Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,DJF-16-1200-V-0005040,,30203,1,0,1,,03.30.15,Environmental Service - FBI,,,0,2016-05-24T00:00:00,2017-05-23T00:00:00,USA,VA,541620,,Y,Non-Competed,"Facilities Contracts Unit - Quantico
FBI Academy
Building 12, Room 203
Quantico, VA 22135",Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,,,70009,1,0,0,SUBK-6791-B0105318-004,07.20.01,Merrick MSA USAFA IDIQ,,,0,2017-01-06T00:00:00,2022-01-06T00:00:00,USA,,541330,,,Non-Competed,"5970 Greenwood Plaza Blvd.
Greenwood Village, CO 80111
Attn: Accounts Payable",Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,W9126G-16-D-0004,,70010,1,0,0,SUBK--A62000-014,07.20.01,Merrick MSA Fort Worth District,,,0,2016-12-07T00:00:00,2021-12-07T00:00:00,USA,CO,541330,,,Non-Competed,"5970 Greenwood Plaza Blvd. Greenwood Village, CO 80111 Attn: Accounts Payable ",Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,DE-EM0004007,,80008,1,0,1,,08.20.99,Carlsbad Technical Assistance Contract,,,0,2015-11-12T00:00:00,2020-12-31T00:00:00,USA,NM,562910,,N,Competed,"4021 National Parks Highway
Carlsbad, NM  88220",Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00024,,40093,1,0,1,,04.10.99,Construction HazMat Material Response ,,0,0,2017-04-12T00:00:00,2020-04-11T00:00:00,USA,AK,237990,,N,Non-Competed,IPP System,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00024,,40093,1,0,1,,04.10.99,Construction HazMat Material Response ,,0,0,2017-04-12T00:00:00,2020-04-11T00:00:00,USA,AZ,237990,,N,Non-Competed,IPP System,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00024,,40093,1,0,1,,04.10.99,Construction HazMat Material Response ,,0,0,2017-04-12T00:00:00,2020-04-11T00:00:00,USA,CA,237990,,N,Non-Competed,IPP System,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00024,,40093,1,0,1,,04.10.99,Construction HazMat Material Response ,,0,0,2017-04-12T00:00:00,2020-04-11T00:00:00,USA,CO,237990,,N,Non-Competed,IPP System,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00024,,40093,1,0,1,,04.10.99,Construction HazMat Material Response ,,0,0,2017-04-12T00:00:00,2020-04-11T00:00:00,USA,ID,237990,,N,Non-Competed,IPP System,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00024,,40093,1,0,1,,04.10.99,Construction HazMat Material Response ,,0,0,2017-04-12T00:00:00,2020-04-11T00:00:00,USA,MT,237990,,N,Non-Competed,IPP System,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00024,,40093,1,0,1,,04.10.99,Construction HazMat Material Response ,,0,0,2017-04-12T00:00:00,2020-04-11T00:00:00,USA,NM,237990,,N,Non-Competed,IPP System,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00024,,40093,1,0,1,,04.10.99,Construction HazMat Material Response ,,0,0,2017-04-12T00:00:00,2020-04-11T00:00:00,USA,NV,237990,,N,Non-Competed,IPP System,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00024,,40093,1,0,1,,04.10.99,Construction HazMat Material Response ,,0,0,2017-04-12T00:00:00,2020-04-11T00:00:00,USA,OR,237990,,N,Non-Competed,IPP System,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00024,,40093,1,0,1,,04.10.99,Construction HazMat Material Response ,,0,0,2017-04-12T00:00:00,2020-04-11T00:00:00,USA,UT,237990,,N,Non-Competed,IPP System,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00024,,40093,1,0,1,,04.10.99,Construction HazMat Material Response ,,0,0,2017-04-12T00:00:00,2020-04-11T00:00:00,USA,WA,237990,,N,Non-Competed,IPP System,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00024,,40093,1,0,1,,04.10.99,Construction HazMat Material Response ,,0,0,2017-04-12T00:00:00,2020-04-11T00:00:00,USA,WY,237990,,N,Non-Competed,IPP System,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,15-006,,80039,1,0,0,15-006,08.20.26,Pioneer Master Agreement for Professional Services,,,0,2015-04-10T00:00:00,2018-12-31T00:00:00,USA,MT,0,,N,Non-Competed,"PO Box 3445
Butte, MT  59702",Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,FA4861-17-D-A103,,40100,1,0,1,,04.10.99,Nellis AFB Multiple Award Construction Contract (MACC),,0,0,2017-05-19T00:00:00,2022-05-18T00:00:00,USA,NV,236210,,Y,Competed,WAWF,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,AG-67T0-C-17-0025,,30259,1,0,1,,03.20.99,USDA Black Hills IDIQ 2017,,0,0,2017-08-01T00:00:00,2019-04-30T00:00:00,USA,SD,541990,,N,Competed,IPP,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,DE-AC07-05ID14517,,40110,1,0,0,189230,04.20.99,General Services for the INL Site-Wide Campus - BMC BEA,,0,0,2017-08-01T00:00:00,2018-07-31T00:00:00,USA,ID,237990,,N,Competed,Page 12 of 15 Section 6.7,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,EPSCM-2016-0012,,80110,1,0,0,Portage Inc. 2017-001,08.20.26,2017 Data Validation for Residential Yard Sampling,,,0,2017-08-17T00:00:00,2019-12-31T00:00:00,USA,MT,0,,N,Non-Competed,Invoice at task order level,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00072,,40111,1,0,1,,04.10.99,BLM Services Hazardous Material Response (NWCS),,0,0,2017-08-30T00:00:00,2019-08-29T00:00:00,USA,AK,562910,,N,Non-Competed,BLM IPP system,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00072,,40111,1,0,1,,04.10.99,BLM Services Hazardous Material Response (NWCS),,0,0,2017-08-30T00:00:00,2019-08-29T00:00:00,USA,AZ,562910,,N,Non-Competed,BLM IPP system,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00072,,40111,1,0,1,,04.10.99,BLM Services Hazardous Material Response (NWCS),,0,0,2017-08-30T00:00:00,2019-08-29T00:00:00,USA,CA,562910,,N,Non-Competed,BLM IPP system,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00072,,40111,1,0,1,,04.10.99,BLM Services Hazardous Material Response (NWCS),,0,0,2017-08-30T00:00:00,2019-08-29T00:00:00,USA,CO,562910,,N,Non-Competed,BLM IPP system,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00072,,40111,1,0,1,,04.10.99,BLM Services Hazardous Material Response (NWCS),,0,0,2017-08-30T00:00:00,2019-08-29T00:00:00,USA,ID,562910,,N,Non-Competed,BLM IPP system,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00072,,40111,1,0,1,,04.10.99,BLM Services Hazardous Material Response (NWCS),,0,0,2017-08-30T00:00:00,2019-08-29T00:00:00,USA,MT,562910,,N,Non-Competed,BLM IPP system,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00072,,40111,1,0,1,,04.10.99,BLM Services Hazardous Material Response (NWCS),,0,0,2017-08-30T00:00:00,2019-08-29T00:00:00,USA,NM,562910,,N,Non-Competed,BLM IPP system,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00072,,40111,1,0,1,,04.10.99,BLM Services Hazardous Material Response (NWCS),,0,0,2017-08-30T00:00:00,2019-08-29T00:00:00,USA,NV,562910,,N,Non-Competed,BLM IPP system,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00072,,40111,1,0,1,,04.10.99,BLM Services Hazardous Material Response (NWCS),,0,0,2017-08-30T00:00:00,2019-08-29T00:00:00,USA,UT,562910,,N,Non-Competed,BLM IPP system,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,L17PC00072,,40111,1,0,1,,04.10.99,BLM Services Hazardous Material Response (NWCS),,0,0,2017-08-30T00:00:00,2019-08-29T00:00:00,USA,WY,562910,,N,Non-Competed,BLM IPP system,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,4200000694,,40119,1,0,1,,,ORNL Misc. Construction Services BOA,,0,0,2017-09-01T00:00:00,2020-08-31T00:00:00,USA,TN,236210,,N,Competed,"UT-Battelle, LLC - Accounts Payable. Email to ornlap@ornl.gov",Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,HSCG50-14-D-PXA701 ,19,20089.019,1,0,1,HSCG87-17-J-PXA206,02.10.02,Provide Long-Term Monitoring and Environmental Program Support at Various Coast Guard Locations Within Alaska,,149487.01,149487.01,2017-09-25T00:00:00,2019-09-30T00:00:00,USA,AK,562910,,Y,Non-Competed,see msa,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,W9128F17A0002,,30283,1,0,1,,03.30.99,"BPA for NEPA, Natural and Cultural Resources",,,0,2017-09-25T00:00:00,2022-09-24T00:00:00,USA,,541620,,N,Competed,Page 21,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,W9128F17A0002,,30283,1,0,1,,03.30.99,"BPA for NEPA, Natural and Cultural Resources",,,0,2017-09-25T00:00:00,2022-09-24T00:00:00,USA,NE,541620,,N,Competed,Page 21,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,612,,80171,1,0,1,,08.30.99,Savannah River Nuclear Solutions (SRNS) Environmental Support Re-Bid,,0,0,2017-10-01T00:00:00,2020-09-30T00:00:00,USA,SC,562910,,Y,Competed,srns-acctspay@srs.gov,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,W56ZTN-17-D-0008,,60021,1,0,1,,06.40.99,Master for Basic Environmental Support Services III (BESS III),,21500000,0,2017-09-29T00:00:00,2019-09-28T00:00:00,USA,MD,541620,,N,Competed,WAWF,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,3458,4467,
Active,,,30288,1,0,0,,03.10.99,"North Fork Salmon Restoration Project, Arbon and Barton Properties",,,0,2017-10-09T00:00:00,2017-12-31T00:00:00,USA,ID,541620,,N,Non-Competed,,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,700686658,,30284,1,0,0,,03.10.99,APS Master Agreement for Environmental Services,,,0,2017-10-06T00:00:00,2018-12-31T00:00:00,USA,AZ,0,,N,Non-Competed,Email to payables@aps.com,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,W9124J-18-D-0007,,20121,1,0,1,,02.20.08,IDIQ Environmental Cleanup at Army Installations,IDIQ Master Contract Army Environmental Remediation,0,0,2017-11-30T00:00:00,2022-11-29T00:00:00,USA,TX,562910,,Y,Competed,"WAWF
",Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,NA,,90040,1,0,1,,09.10.99,OWS Repair Phase 3 IDIQ,,160,160,2018-01-01T00:00:00,2018-01-31T00:00:00,USA,AK,237120,,N,Competed,Heidi@eccalaska.com,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,HSCG87-10-D-PJT035,,0A0001,1,0,1,,0A.50.02,ANC JV Coast Guard IDIQ,,0,0,2017-01-01T00:00:00,2018-12-31T00:00:00,USA,AK,237990,,Y,Competed,https://www.fincen.uscg.mil,Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
Active,80SSC01800006,,90050,1,0,1,,09.30.99,NASA MACC-II IDIQ,"The Multiple Award Construction Contract Two (MACC-11) provides a critical in-place contractual mechanism through a regionalized Multiple Award, Indefinite Delivery, Indefinite Quantity (IDIQ) Contract to support general construction, alteration, modification, maintenance and repair, demolition, design-build, Leadership in Energy and Environmental Design (LEED), Building Information Modelling (BIM), and new construction of buildings, facilities, and real property at John C. Stennis Space Center (SSC), Johnson Space Center 
(JSC) including White Sands Test Facility (WSTF), Kennedy Space Center (KSC), and Marshall Space Flight Center (MSFC) including Michoud Assembly Facility (MAF).",,0,2017-05-23T00:00:00,2025-05-22T00:00:00,USA,AL,236210,,Y,Competed,"NSSC Shared Services Center 
Financial Management Division {FMD)-Accounts Payable 
Bldg 1111, C Road 
Stennis Space Canter MS 39529 
Email: n5sc-AccountsPayabla@nasa.gov FAX: 866-209-5415",Brian Hawes,Barry Webster,Daniel Webster,Daniel Webster,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,Add,,,
