Status,Contract Number,Task Order Number,Project Number,IsIDIQ,IsTaskOrder,IsPrime,Subcontract Number,Org ID,Title,Description,Award Amount,Funded Amount,POP Start,POP End,Contract Country,Contract State,NAICS,PSC,CPAR eligible?,Quality Level,Acquisition Type,Competition,Contract Type,Currency,Billing Address,Billing Frequency,G&A %,OH %,Fee %,Invoice Submission Method,Payment Terms,Applicable Wage Determination,Billing Formula,Revenue Formula,Revenue Recognition EAC %,Onsite OH,Offsite OH,Contract Rep,Project Controls Rep,Project Manager,Accounting Rep,Awarding Agency,Award Agency Contract Representative,Awarding Agency Technical Representative,Funding Agency,Funding Agency Contract Representative,Funding Agency Technical Representative,Human Resources Rep,Action,Purchasing Rep,Subcontract Rep
Inactive,,,10394,0,0,1,,02.30.04,FORT MCPHERSON INVESTIGAT,,,320328.83,2010-08-23T00:00:00,2012-08-23T00:00:00,USA,,0,,,,8(a),Non-Competed,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,25,20004.025,0,1,1,,02.30.04,TRINITY RIVER ENVIRO COMP,,,,2011-10-01T00:00:00,2012-09-30T00:00:00,USA,CA,,,,,8(a),Non-Competed,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Active,W911KB-11-D-0006,4,10583.004,0,0,1,,01.10.02,FORT MORROW RIFS,,3551524.23,3551524.23,2012-01-31T00:00:00,2013-11-29T00:00:00,USA,AK,562910,,,2,Unrestricted,Non-Competed,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,10595,1,0,1,,02.30.04,BUNKER HILL BOX ICP WASTE,,,,2011-09-01T00:00:00,2012-08-31T00:00:00,USA,,,,,,Unrestricted,Competed,Master Contract / IDIQ,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,10585,0,0,1,,02.30.04,KILGORE IDAHO MINE,,,,2011-08-23T00:00:00,2012-12-31T00:00:00,USA,ID,,,,,Unrestricted,Competed,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,10174,0,1,1,,02.30.04,ENVIROn. REMEDIATION,,,139972,2008-01-31T00:00:00,2012-11-19T00:00:00,USA,HI,0,,,,8(a),Non-Competed,Time and Materials,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,10461,0,0,0,100018536,01.30.99,10461 - GULFPORT - MSPA,Environmental support to prime contractor pertaining to expansion of port area at Mississippi Gulfport Port Authority area,307637.61,-26723.97,2010-11-18T00:00:00,2018-01-31T00:00:00,USA,MS,0,,N,1,Small Business,Non-Competed,Firm Fixed Price,,,,,,10,,,,,,,103,53.12,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,W912HN-10-D-0040-0005,5,20013.005,0,0,1,,02.30.09,FT GILLEM B REMEDIAL ASSE,,1851694.5,1851694.5,2011-02-18T00:00:00,2015-09-28T00:00:00,USA,GA,562910,,,2,8(a),Non-Competed,Firm Fixed Price,,,,,,8,,,Service Contract Act,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,3,20013.003,0,0,1,,02.30.09,FT GILLEM A REMEDIAL ASSE,,719102,719102,2010-09-29T00:00:00,2015-09-28T00:00:00,USA,GA,562910,,,2,8(a),Non-Competed,Firm Fixed Price,,,,,,8,,,Service Contract Act,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,2,20013.002,0,1,1,,02.30.04,21ST SPACE WING PETERSON,,,,2010-09-30T00:00:00,2015-04-12T00:00:00,USA,CO,,,,,8(a),Non-Competed,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,25.04,020004.025.04,0,1,1,,02.30.04,RIPARIAN & WETLAND RE-VEG,,,,2011-10-01T00:00:00,2012-09-30T00:00:00,USA,CA,,,,,8(a),Non-Competed,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,2012,0,0,0,,02.30.04,FY 2012 DEQ BASIN PROJ,,,3159595.39,2011-05-17T00:00:00,2012-05-16T00:00:00,USA,ID,NONE,,,,Unrestricted,Competed,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,2.02,020013.002.02,0,0,1,,02.30.04,CLEAR AFS MET DATA,,,0,2010-09-30T00:00:00,2015-04-12T00:00:00,USA,AK,562910,,,,8(a),Non-Competed,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,2,20002.002,0,0,0,,02.30.04,ANVIL POINT PHASE III,,,,2010-05-27T00:00:00,2012-03-31T00:00:00,USA,,,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,5027,0,0,0,,02.30.04,ATLAS MISSILE SITE 12,,,3625899,2008-06-30T00:00:00,2013-07-13T00:00:00,USA,,0,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,10538,0,0,0,,01.10.99,El Centro NAF,,,,2011-06-01T00:00:00,2012-05-20T00:00:00,USA,,,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,10538,0,0,0,,01.10.99,MOBILIZATION/DEMOBILIZATI,,,0,2012-01-31T00:00:00,2013-07-12T00:00:00,USA,,0,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,10426,0,0,0,,02.30.04,FY11 STAFF AUG,,,,2011-10-01T00:00:00,2012-09-30T00:00:00,USA,ID,0,,,,,,Time and Materials,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,10373,0,0,1,,01.20.01,CIRI DBA and DB Risk Mitigation,"Database infrastructure design, development and migration for corporate environment. ",27208.5,27208.5,2010-06-26T00:00:00,2015-12-31T00:00:00,USA,AK,0,,,,Unrestricted,Non-Competed,Time and Materials,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,10373,0,0,1,,01.20.01,CIRI DBA and DB Risk Mitigation,"Database infrastructure design, development and migration for corporate environment. ",27208.5,27208.5,2010-06-26T00:00:00,2015-12-31T00:00:00,USA,ID,0,,,,Unrestricted,Non-Competed,Time and Materials,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,5,10499.005,0,0,0,,01.20.01,Hanford tank waste treatment and immobilization plant Commercial Services.,,40114.24,40114.24,2012-02-06T00:00:00,2015-12-31T00:00:00,USA,ID,0,,,2,Small Business,Competed,Time and Materials,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,FA4897-12-C-3002,,20054,0,0,1,,02.20.01,D/B BAK-12 Aircraft Arrest System - Mt. Home AFB,,2196855.53,2196855.53,2012-11-10T00:00:00,2013-07-20T00:00:00,USA,ID,237310,,,,8(a),Non-Competed,Firm Fixed Price,,wawf.eb.mil (FA4897),,,,,,,Davis Bacon Act,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,1,10629.001,0,0,1,,02.30.04,Home care study analysis website,Industry survey with automation of reports and graphs.,13000,13000,2012-01-01T00:00:00,2012-05-30T00:00:00,USA,ID,NONE,,,2,Unrestricted,Non-Competed,Time and Materials,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,1,1453.001,0,0,0,S00W178A00,01.10.06,TECHNICAL SUPPORT/HABEL,,1348083,1348083,2007-10-02T00:00:00,2016-09-30T00:00:00,USA,WA,562910,,N,2,Unrestricted,Non-Competed,Time and Materials,USD,"Submit an original and two copies along with a ""Request for Payment"" form to:

Washington Closure Hanford, LLC
2620 Fermi Ave
Richland, WA 99354
Ref. S00W178A00",,,,,,,,,,,,56.11,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,1,1453.001,0,0,0,S00W178A00,01.10.06,TECHNICAL SUPPORT/HABEL,,1348083,1348083,2007-10-02T00:00:00,2016-09-30T00:00:00,USA,WA,562910,,N,2,Unrestricted,Non-Competed,Time and Materials,USD,"Submit an original and two copies along with a ""Request for Payment"" form to:

Washington Closure Hanford, LLC
2620 Fermi Ave
Richland, WA 99354
Ref. S00W178A00",,,,,,,,,,,,56.11,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,12,1458.012,0,0,0,,02.30.04,SPOKANE ARPA CRI,,28291.19,0,2009-08-18T00:00:00,2012-06-30T00:00:00,USA,,541620,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,12,1458.012,0,0,0,,02.30.04,SPOKANE ARPA CRI,,28291.19,0,2009-08-18T00:00:00,2012-06-30T00:00:00,USA,,541620,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,18,1458.018,0,0,0,,02.30.04,2011 SPOKANE GRAZING CRI,,76411.4,0,2011-07-19T00:00:00,2012-07-01T00:00:00,USA,,541620,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,18,1458.018,0,0,0,,02.30.04,2011 SPOKANE GRAZING CRI,,76411.4,0,2011-07-19T00:00:00,2012-07-01T00:00:00,USA,,541620,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,19,1458.019,0,0,0,,02.30.04,OLIGHRE RANCH HABS,,14985.52,0,2011-08-15T00:00:00,2012-06-29T00:00:00,USA,,541620,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,19,1458.019,0,0,0,,02.30.04,OLIGHRE RANCH HABS,,14985.52,0,2011-08-15T00:00:00,2012-06-29T00:00:00,USA,,541620,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,21,1458.021,0,0,0,,02.30.04,POORMAN BALM CR NOMINATIO,,34925.15,0,2011-09-12T00:00:00,2012-12-30T00:00:00,USA,,541620,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,21,1458.021,0,0,0,,02.30.04,POORMAN BALM CR NOMINATIO,,34925.15,0,2011-09-12T00:00:00,2012-12-30T00:00:00,USA,,541620,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,22,1458.022,0,0,0,,02.30.04,BRETZ MINE HISTORIC SURVE,,37550,0,2011-09-12T00:00:00,2012-09-30T00:00:00,USA,,541620,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,22,1458.022,0,0,0,,02.30.04,BRETZ MINE HISTORIC SURVE,,37550,0,2011-09-12T00:00:00,2012-09-30T00:00:00,USA,,541620,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,1498,0,0,1,,02.30.04,UTR SALINAS ARMY AIRFIELD,,394364.38,0,2007-06-05T00:00:00,2012-10-31T00:00:00,USA,KS,562910,,N,2,Small Business,Competed,Firm Fixed Price,USD,,,,,8,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,1498,0,0,1,,02.30.04,UTR SALINAS ARMY AIRFIELD,,394364.38,0,2007-06-05T00:00:00,2012-10-31T00:00:00,USA,KS,562910,,N,2,Small Business,Competed,Firm Fixed Price,USD,,,,,8,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,GS04T08DBC0020,1,1609.001,0,0,0,PO 7200003278,02.30.04,HPCMP TASKS,,581988.27,581988.27,2008-06-01T00:00:00,2013-11-30T00:00:00,USA,,562910,,,2,Unrestricted,,Time and Materials,,"LM Enterprie Business Services, PO. Box 33017, Lakeland FL 33807-3017",,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,GS04T08DBC0020,1,1609.001,0,0,0,PO 7200003278,02.30.04,HPCMP TASKS,,581988.27,581988.27,2008-06-01T00:00:00,2013-11-30T00:00:00,USA,,562910,,,2,Unrestricted,,Time and Materials,,"LM Enterprie Business Services, PO. Box 33017, Lakeland FL 33807-3017",,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,1634,0,0,0,,02.30.04,COMM INLV/SELENIUM ISSUES,,250000,0,2008-09-29T00:00:00,2012-12-30T00:00:00,USA,,562910,,,,,,Time and Materials,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
Inactive,,,1634,0,0,0,,02.30.04,COMM INLV/SELENIUM ISSUES,,250000,0,2008-09-29T00:00:00,2012-12-30T00:00:00,USA,,562910,,,,,,Time and Materials,,,,,,,,,,,,,,,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,bakins@northwindgrp.com,New Federal Department,Ashish Denieal,Ashish Denieal,New Federal Department,Ashish Denieal,Ashish Denieal,,Add,,
