CustomerName,CustomerType,Department,Agency,Description,Address,Country,State,City,Zip Code,Email,PhoneNo,Abbreviation,Action
Baker,Federal,Dept. of Energy,,,"2004 Jennie Lee Drive  Idaho Falls, ID 83404",United States,Virginia,Dulles,98174,,,,Add
"BATTELLE ENERGY ALLIANCE, LLC (BEA)",Federal,Dept. of Energy,,,"2525 Fremont Avenue, P. O. Box 1625, Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
"Battelle Memorial Institute, Pacific Northwest Division (operating the Pacific Northwest National Laboratory)",Federal,Dept. of Energy,,,"Joanne D. Smith  Senior Contract Specialist  Battelle Memorial Institute, Pacific Northwest Division     (operating the Pacific Northwest National Laboratory     for the U.S. Department of Energy)  902 Battelle Boulevard  P.O. Box 999, MSIN:  J2-05  Richland, WA  99352  USA  Tel:   509-371-7269  Fax:  509-375-2345  Cell:  509-460-6544  joanne.smith@pnnl.gov  www.pnnl.gov  ",United States,Virginia,Dulles,98174,,,,Add
Battelle Pacific Northwest Division,Federal,Dept. of Energy,,,"Battelle Memorial Institute  Pacific North West National Laboratory  902 Battelle Boulevard  902 Box 999, MSIN J2-05",United States,Virginia,Dulles,98174,,,,Add
BCS Inc,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
BEA,Federal,Dept. of Energy,,,"2525 Freemont Avenue, Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
Bechtel Marine Propulsion Corporation,Federal,Dept. of Defense,Navy,,"Bechtel Marine Propulsion Corporation, Naval Reactors Facility  PO Box 2008, Idaho Falls, ID 83403-2008",United States,Virginia,Dulles,98174,,,,Add
"Bechtel National, Inc.",Federal,Dept. of Energy,,,"Consolidated Nuclear Security, LLC  Uranium Processing Facility (UPF)",United States,Virginia,Dulles,98174,,,,Add
BIA Eastern OK Reg Office,Federal,Dept. of the Interior,BIA,,"BIA EORO 00008  3100 West Peak Boulevard  Muskogee, OK  74402",United States,Virginia,Dulles,98174,,,,Add
BIA Pima Agency,Federal,Dept. of the Interior,BIA,,"Bureau of Indian Affairs, Pima Agency  P.O. Box 8  104 North Main Street  Sacaton, AZ 85147",United States,Virginia,Dulles,98174,,,,Add
BIA San Carlos Irrigation Project,Federal,Dept. of the Interior,BIA,,"13805 N Arizona Blvd  Coolidge, AZ  85128",United States,Virginia,Dulles,98174,,,,Add
BIA SPRO 00003,Federal,Dept. of the Interior,BIA,,,United States,Virginia,Dulles,98174,,,,Add
BIA WESTERN REGION,Federal,Dept. of the Interior,BIA,,"Division of Environmental and Cultural Resource Management BIA Western Regional Office, 2600 North Central Ave., MS-620, Phoenix, AZ 85004-3008 ",United States,Virginia,Dulles,98174,,,,Add
BLM - CO State Office,Federal,Dept. of the Interior,BLM,,"3028 E. Main St  Canon City, CO 81212",United States,Virginia,Dulles,98174,,,,Add
BLM - IDAHO,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
BLM - Salt Lake City District Office,Federal,Dept. of the Interior,BLM,,"PO Box 45155  Salt Lake City, UT 84078",United States,Virginia,Dulles,98174,,,,Add
BLM Alaska State Office,Federal,Dept. of the Interior,BLM,,"222 West 7th Ave, #13  Anchorage, AK 99513-7504",United States,Virginia,Dulles,98174,,,,Add
BLM Arizona,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
BLM Arkansas,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
BLM AZ - State Office Admin Services,Federal,Dept. of the Interior,BLM,,"One N. Central Ave, Suite 800  Phoenix, AC 85004",United States,Virginia,Dulles,98174,,,,Add
BLM Boise District Office,Federal,Dept. of the Interior,BLM,,"3948 Development Ave  Boise, ID 83705",United States,Virginia,Dulles,98174,,,,Add
BLM California,Federal,Dept. of the Interior,BLM,,"Denver Federal Office  Bldg. 50, OC-664  PO Box 25047  Denver, CO 80225",United States,Virginia,Dulles,98174,,,,Add
BLM Colorado,Federal,Dept. of the Interior,BLM,,"Bureau of Land Management  Denver Federal Center, Bldg 50 OC-664  Denver, CO 80225-0047  ",United States,Virginia,Dulles,98174,,,,Add
BLM Denver,Federal,Dept. of the Interior,BLM,,"Denver Federal Center, Bldg 50 PO Box 25047 Denver, CO 80225",United States,Virginia,Dulles,98174,,,,Add
BLM ID - FIRE&AV TWIN FALLS,Federal,Dept. of the Interior,BLM,,"1387 S Vinnell Way  Boise, ID  83709",United States,Virginia,Dulles,98174,,,,Add
BLM ID State Office,Federal,Dept. of the Interior,BLM,,"1387 S Vinnell Way  Boise, ID  83709",United States,Virginia,Dulles,98174,,,,Add
BLM Idaho - Boise District,Federal,Dept. of the Interior,BLM,,"3948 Development Ave  Boise, ID 83705",United States,Virginia,Dulles,98174,,,,Add
BLM Idaho Upper Snake Field Office,Federal,Dept. of the Interior,BLM,,"400 West F Street  Shoshone, ID 83352",United States,Virginia,Dulles,98174,,,,Add
BLM ID-Fire & AV Twin Falls,Federal,Dept. of the Interior,BLM,,"Bureau of Land Management  400 West F Street  Shoshone, ID 83352",United States,Virginia,Dulles,98174,,,,Add
BLM ID-State Office,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
BLM Las Vegas District Office,Federal,Dept. of the Interior,BLM,,"BLM NV State OFC BDGT & FIN  1340 Financial Blvd.  Reno, NV  89502",United States,Virginia,Dulles,98174,,,,Add
BLM Montana State Office,Federal,Dept. of the Interior,BLM,,"5001 Southgate Dr.  Billings, MT 59101",United States,Virginia,Dulles,98174,,,,Add
BLM MT Western District OFC,Federal,Dept. of the Interior,BLM,,"106 North Parkmont  Butte, MT 59701",United States,Virginia,Dulles,98174,,,,Add
BLM Nevada,Federal,Dept. of the Interior,BLM,,"BLM NV State OFC BDGT & FIN, 1340 Financial Blvd., Reno, NV 89502",United States,Virginia,Dulles,98174,,,,Add
BLM New Mexico,Federal,Dept. of the Interior,BLM,,"6251 College Blvd, SteA  Farmington, NM 87402",United States,Virginia,Dulles,98174,,,,Add
BLM NV State Office,Federal,Dept. of the Interior,BLM,,"702 No Industrial Way, Ely, NV 89301",United States,Virginia,Dulles,98174,,,,Add
BLM OC NOC INFRASTR SEC,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
BLM OC-NOC-SVC & Supply Denver,Federal,Dept. of the Interior,BLM,,"BLM OC-NOC SVC & Supply Sec, Denver Federal Center, Building 50, PO Box 25047, Denver CO 80225",United States,Virginia,Dulles,98174,,,,Add
BLM OR - State Office of Procurement Mgmt,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
BLM OR-ST OFC PROC MGMT BR,Federal,Dept. of the Interior,BLM,,"BLM-Oregon State Office  Duty Station: Coos Bay District Office, North Bend, Oregon  ",United States,Virginia,Dulles,98174,,,,Add
BLM TX,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
BLM UT State,Federal,Dept. of the Interior,BLM,,"BLM UT-State OFC ADM SVCS BR  440 West 200 South, Suite 500  Salt Lake City UT 84101",United States,Virginia,Dulles,98174,,,,Add
BLM Utah State Office,Federal,Dept. of the Interior,BLM,,"440 West 200 South, Suite 500  Salt Lake City, UT 84101",United States,Virginia,Dulles,98174,,,,Add
BLM UT-State OFC ADM SVCS,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
BLM washington,Federal,Dept. of the Interior,BLM,,"BLM, National Operations Center  Denver Federal Center, Bldg. 50, OC-664  PO Box 25047; Denver, CO 80225",United States,Virginia,Dulles,98174,,,,Add
BLM WY - Rock Springs,Federal,Dept. of the Interior,BLM,,"BLM WY-Rock Sprgs Field OFC  290 Highway 191 North  Rock Springs, WY  82901",United States,Virginia,Dulles,98174,,,,Add
BLM WY-STATE OFC,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
BLM-Alaska,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
BLM-AZ Arizona State Office,Federal,Dept. of the Interior,BLM,,"711 14TH AVENUE Safford, AZ  85546-3337   ",United States,Virginia,Dulles,98174,,,,Add
BLM-CA Desert District Office,Federal,Dept. of the Interior,BLM,,"2800 Cottage Way, Suite W1623  Sacramento, CA  95825",United States,Virginia,Dulles,98174,,,,Add
"BLM-OC NOC, DIVISION OF RESOURCE SE",Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
BLM-OR ST OFC,Federal,Dept. of the Interior,BLM,,"PO Box 2965  Portland, OR  97208",United States,Virginia,Dulles,98174,,,,Add
BMPC / NRF,Federal,Dept. of Defense,Navy,,See MSA,United States,Virginia,Dulles,98174,,,,Add
BOR Lower Colorado Region,Federal,Dept. of the Interior,BOR,,,United States,Virginia,Dulles,98174,,,,Add
"Boston Government Services, LLC",Federal,Dept. of Energy,,,"105 Mitchell Road; Suite 101  Oak Ridge, TN 37830",United States,Virginia,Dulles,98174,,,,Add
"Bristol Environmental Remediation Services, LLC",Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
Bureau of Indian Affairs SPRO,Federal,Dept. of the Interior,BIA,,"PO Box 368  Anadarko, OK  73005",United States,Virginia,Dulles,98174,,,,Add
Bureau of Indian Affairs WRO,Federal,Dept. of the Interior,BIA,,Randall Brown  Contract Specialist  DOI/BIA/Western Regional Office  13805 N Arizona Blvd  Coolidge AZ 85128  ,United States,Virginia,Dulles,98174,,,,Add
Bureau of Land Management (BLM),Federal,Dept. of the Interior,BLM,,"Tina Hamalak  Contracting Officer  BLM, National Operations Center  Denver Federal Center, Bldg 50, OC-662  PO Box 25047, Denver, CO 80225  Ph: 303-236-4676    Fax: 303-236-9473  thamalak@blm.gov  ",United States,Virginia,Dulles,98174,,,,Add
Bureau of Reclamation - Colorado,Federal,Dept. of the Interior,BOR,,"PO Box 25007, 84-27810  Denver, CO  80225-0007",United States,Virginia,Dulles,98174,,,,Add
Bureau of Reclamation - Lower CO,Federal,Dept. of the Interior,BOR,,,United States,Virginia,Dulles,98174,,,,Add
Bureau of Reclamation - Upper CO,Federal,Dept. of the Interior,BOR,,,United States,Virginia,Dulles,98174,,,,Add
Bureau of Reclamation UC,Federal,Dept. of the Interior,BOR,,"125 South State Street, Room 6107  Salt Lake City, UT  84138",United States,Virginia,Dulles,98174,,,,Add
Caribou-Targhee National Forest,Federal,Dept. of Agriculture,Forest Service,,,United States,Virginia,Dulles,98174,,,,Add
CDR US Army Environmental Command,Federal,Dept. of Defense,Army,,Environmental Contracting Division  U.S. Army Mission and Installation Contracting Command (MICC)  2205 INFANTRY POST ROAD  JBSA FORT SAM HOUSTON TX 78234-1361,United States,Virginia,Dulles,98174,,,,Add
CH2M HILL B&W West Valley LLC,Federal,Dept. of Energy,,,"CH2M HILL B&W West Valley LLC (CHBWV)  10282 Rock Springs Road  West Valley, N.Y. 14171-9799",United States,Virginia,Dulles,98174,,,,Add
CH2M Hill Plateau Remediation Company,Federal,Dept. of Energy,,,CH2M Hill Plateau Remediation   PO Box 1600 Mail Stop: H8-41  Richland WA 99352,United States,Virginia,Dulles,98174,,,,Add
CH2MHILL PRC,Federal,Dept. of Energy,,,"P.O. Box 1600  Richland, WA 99352-1000",United States,Virginia,Dulles,98174,,,,Add
"CH2M-WG Idaho, LLC (CWI)",Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
CHPRC Plateau Remediation Contract,Federal,Dept. of Energy,,,"CH2M Hill Plateau Remediation Company  Project Subcontracts  Bldg 2420  P.O. Box 1600  Richland, WA  99352",United States,Virginia,Dulles,98174,,,,Add
"Chugach Federal Solutions, Inc.",Federal,Dept. of Defense,Navy,,"3800 Centerpoint Dr. Suite 1200  Anchorage, AK 99503",United States,Virginia,Dulles,98174,,,,Add
"CJ Seto Support Services, LLC",Federal,Dept. of Defense,Navy,,"2300 Knoll Drive, Unit G  Ventura, CA  93003",United States,Virginia,Dulles,98174,,,,Add
Colorado BLM,Federal,Dept. of the Interior,BLM,,"2850 Youngfield Street  Lakewood, CO 80215  ",United States,Virginia,Dulles,98174,,,,Add
ComDesigns,Federal,Dept. of Energy,,,"525 3rd Street, Idaho Falls, ID 83404",United States,Virginia,Dulles,98174,,,,Add
"Communication Designs, Inc.",Federal,Dept. of Energy,,,"394 10th Street  Idaho Falls, ID 83404    http://www.comdesigns.com",United States,Virginia,Dulles,98174,,,,Add
Confederated Tribes of the Colville Reservation,Federal,Dept. of the Interior,BIA,,,United States,Virginia,Dulles,98174,,,,Add
"Consolidated Nuclear Security, LLC",Federal,Dept. of Energy,,,"Consolidated Nuclear Security, LLC  P.O. Box 2009  Oak Ridge, TN 37831-6501",United States,Virginia,Dulles,98174,,,,Add
Customs Border and Protection,Federal,Dept. of Homeland Security,US Customs and Border Protection,,"DHS - Customs & Border Protection  Customs and Border Protection  1300 Pennsylvania Ave, NW  Washington, DC",United States,Virginia,Dulles,98174,,,,Add
"Demolition and Excavating Inc., DBA, Northwest Demolition & Dismantling",Federal,Dept. of Defense,Army Corps,,"DBA, Northwest Demolition & Dismantling  P.O. Box 230819  Tigard, OR 97281-0819",United States,Virginia,Dulles,98174,,,,Add
Denbury,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
Department of Energy Idaho Operations,Federal,Dept. of Energy,,,"1955 Fremont Ave   Idaho Falls, ID 83415 ",United States,Virginia,Dulles,98174,,,,Add
Department of Homeland Security/ Coast Guard,Federal,Dept. of Homeland Security,Coast Guard,,"USCG FDCC DET SEATTLE 915 Second Ave, RM 2664 Seattle WA 981741011",United States,Virginia,Dulles,98174,,,,Add
Dept of Army Walla Walla District,Federal,Dept. of Defense,Army,,"Army Corps of Engineers Construction Branch 201 North 3rd Walla Walla, WA 99362-1876",United States,Virginia,Dulles,98174,,,,Add
Dept of Defense,Federal,Dept. of Defense,Air Force,,"55th Contracting Squadron/PKA  101 Washington Square, Bldg 40  Offutt AFB NE 68113-2107",United States,Virginia,Dulles,98174,,,,Add
Dept of the Interior - NPS,Federal,Dept. of the Interior,NPS,,"22 Stable Street/P.O Box 168  Yellowstone National Park, WY 82190",United States,Virginia,Dulles,98174,,,,Add
"Dept. of Army, US Army Engineer District, AK",Federal,Dept. of Defense,Army Corps,,"U.S. Army Engineer District Alaska PO Box 6898 JBER, AK 99506-0898",United States,Virginia,Dulles,98174,,,,Add
DHS - Customs & Border Protection,Federal,Dept. of Homeland Security,US Customs and Border Protection,,"DHS-Customs & Border Protection  Department of Homeland Security  Intech Two, Suite 100  6650 Telecom Dr.  Indianapolis, IN 46278",United States,Virginia,Dulles,98174,,,,Add
DOD Army USACE,Federal,Dept. of Defense,Army Corps,,"100 W. Oglethorpe Avenue, Savannah, GA 31401-3640",United States,Virginia,Dulles,98174,,,,Add
DOE - EMCBC,Federal,Dept. of Energy,,,"4021 National Parks Highway  Carlsbad, NM  88220",United States,Virginia,Dulles,98174,,,,Add
DOE - Idaho Operations Office,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
DOE - LANL,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
DOE - Naval Reactors,Federal,Dept. of Energy,,,"U.S. Department of Energy  Naval Reactors Laboratory Field Office - Sch  P.O. Box 1069  Schenectady, NY 12301-1069",United States,Virginia,Dulles,98174,,,,Add
DOE CBC,Federal,Dept. of Energy,,,"Environmental Management Consolidated Business Center  250 E 5th Street Suite 500  Cincinnati, Ohio 45202",United States,Virginia,Dulles,98174,,,,Add
DOE EMCBC,Federal,Dept. of Energy,,,"250 E. 5th Street, Suite 500  Cincinnati OH 45202",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho Operations,Federal,Dept. of Energy,,,"1955 Fremont Street, Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
DOE LANL,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
DOE NE,Federal,Dept. of Energy,,,Reference MSA,United States,Virginia,Dulles,98174,,,,Add
DOE Oak Ridge,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
DOE Office of River Protection,Federal,Dept. of Energy,,,U.S. Dept. of Energy  Office of River Protection  ,United States,Virginia,Dulles,98174,,,,Add
DOE/NNSA,Federal,Dept. of Energy,,,"NNSA Headquaters  1000 Independence Avenue, S.W.  Washington DC 20585",United States,Virginia,Dulles,98174,,,,Add
DOE-NE,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
DOI - FWS DIV of Natural & Cultural Resources,Federal,Dept. of the Interior,USFWS,,"Eastside Federal Complex  911 NE 11th Avenue  Portland, OR  97232",United States,Virginia,Dulles,98174,,,,Add
DOI - National Park Service GTNP,Federal,Dept. of the Interior,NPS,,"IMR - GRTE - Grand Teton National Park  P.O. Drawer 170  Moose, WY 83012-0170",United States,Virginia,Dulles,98174,,,,Add
DOI FWS,Federal,Dept. of the Interior,USFWS,,,United States,Virginia,Dulles,98174,,,,Add
EA ENGINEER SCIENCE,Federal,Dept. of Defense,Army Corps,,"7995 E. Prentice Avenue, Suite 206E, Greenwood Village, CO  80111  ",United States,Virginia,Dulles,98174,,,,Add
"EA Engineering, Science, & Technology, Inc., PBC",Federal,Dept. of Defense,Army,,"EA Engineering, Science, and Technology, Inc., PBC 225 Schilling Circle Hunt Valley, MD 21031",United States,Virginia,Dulles,98174,,,,Add
"Eagle Peak Rock & Paving, Inc.",Federal,Dept. of the Interior,BOR,,PO Box 161898  Big Sky MT  59716,United States,Virginia,Dulles,98174,,,,Add
Eareckson AFB,Federal,Dept. of Defense,Air Force,,"U.S. ARMY ENGINEER DISTRICT, AK  CEPOA-CT (W911KB)  PO BOX 6898  JBER AK 99506-0898",United States,Virginia,Dulles,98174,,,,Add
EMCBC,Federal,Dept. of Energy,,,EM-CBC,United States,Virginia,Dulles,98174,,,,Add
EMCBC - DOE,Federal,Dept. of Energy,,,"DOE EMCBC  250 East 5th Street, Suite 500  Cincinnati, OH 45202",United States,Virginia,Dulles,98174,,,,Add
Energy Solutions LLC,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
Environmental Chemical Corporation,Federal,Dept. of Defense,Army,,"ECC  110 Fieldcrest Ave Suite 31  Edison, NJ 08837",United States,Virginia,Dulles,98174,,,,Add
FAA - Western Logistics Serv. Area,Federal,Dept. of Transportation,FAA,,"222 W 7th Ave. # 14, Anchorage, AK 99513",United States,Virginia,Dulles,98174,,,,Add
FAA Western Service Area,Federal,Dept. of Transportation,FAA,,,United States,Virginia,Dulles,98174,,,,Add
Facility Services Management,Federal,Dept. of Defense,Air Force,,Facility Services Management - JBER Hospital ,United States,Virginia,Dulles,98174,,,,Add
Federal Aviation Administration,Federal,Dept. of Transportation,FAA,,"1601 Lind Ave W, Renton WA 98057",United States,Virginia,Dulles,98174,,,,Add
Federal Highway Administration,Federal,Dept. of Transportation,FHWA,," FHA 12300 W. Dakota Ave, Suite 360 Lakewood, CO 80228 ",United States,Virginia,Dulles,98174,,,,Add
FEMA HQ,Federal,Dept. of Homeland Security,FEMA,,"500 C Street SW, 3rd Floor  Washington DC  20472",United States,Virginia,Dulles,98174,,,,Add
Flathead Electric Cooperative,Federal,Dept. of the Interior,NPS,,,United States,Virginia,Dulles,98174,,,,Add
"FLUOR  IDAHO, LLC",Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
"Fluor Federal Services, Inc.",Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
"FLUOR IDAHO, LLC",Federal,Dept. of Energy,,,"1580 Sawtelle Street, Idaho Falls, ID 83402 ",United States,Virginia,Dulles,98174,,,,Add
Fluor Marine Propulsion,Federal,Dept. of Defense,Navy,,,United States,Virginia,Dulles,98174,,,,Add
Fluor-B&W Portsmouth LLC,Federal,Dept. of Energy,,,"Fluor-B&W Portsmouth LLC  PO Box 548  Piketon, Ohio 45690",United States,Virginia,Dulles,98174,,,,Add
Forest Service Northern Region,Federal,Dept. of Agriculture,Forest Service,,"24 Fort Missoula Road, Missoula, MT 59804",United States,Virginia,Dulles,98174,,,,Add
Forest Services Sioux Ranger District,Federal,Dept. of Agriculture,Forest Service,,,United States,Virginia,Dulles,98174,,,,Add
Fred Biebesheimer,Federal,Dept. of Energy,,,"CH2M Hill Plateau Remediation  P.O. Box 1600  Richland, WA 99352",United States,Virginia,Dulles,98174,,,,Add
"FWS, Division of Contracting & General Services",Federal,Dept. of the Interior,USFWS,,"FWS, DIVISION OF CONTRACTING AND GE  1011 E TUDOR ROAD  ANCHORAGE AK 99503-6199",United States,Virginia,Dulles,98174,,,,Add
GEOServices,Federal,Dept. of Agriculture,Forest Service,,"GEOServices, LLC  2561 Willow Point Way  Knoxville, TN",United States,Virginia,Dulles,98174,,,,Add
Glacier National Park,Federal,Dept. of the Interior,NPS,,"Glacier National Park  West Glacier, Montana 59936",United States,Virginia,Dulles,98174,,,,Add
Grand Teton National Park,Federal,Dept. of the Interior,NPS,,,United States,Virginia,Dulles,98174,,,,Add
Idaho Panhandle Forest Service,Federal,Dept. of Agriculture,Forest Service,,"Supv Contract Specialist  USDA Forest Service  WO Business Operations, Enterprise Support  Region 1, Idaho Montana Acquisition Team   Idaho Panhandle National Forests  3815 Schreiber Way  Coeur d Alene, ID 83815  FAX (208) 765-7229  ",United States,Virginia,Dulles,98174,,,,Add
Idaho Panhandle National Forest,Federal,Dept. of Agriculture,Forest Service,,,United States,Virginia,Dulles,98174,,,,Add
Idaho Treatment Group (ITG),Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
IDAWY Acquisition Service Center,Federal,Dept. of Agriculture,Forest Service,,"1405 Hollipark Dr.  Idaho Falls, ID 83401",United States,Virginia,Dulles,98174,,,,Add
Jacobs Field Services North America,Federal,Dept. of Defense,Navy,,"Jacobs Field Services North America  501 W. Broadway St., Suite 303  Idaho Falls, ID 83402",United States,Virginia,Dulles,98174,,,,Add
JBER Hospital,Federal,Dept. of Defense,Air Force,,JBER Hospital,United States,Virginia,Dulles,98174,,,,Add
JPPSO,Federal,Dept. of Defense,Air Force,,,United States,Virginia,Dulles,98174,,,,Add
"JSL Technologies, Inc",Federal,Dept. of Defense,Navy,,"JSL Technologies, Inc., 1701 Pacific Avenue Suite 270 Oxnard, CA  93033",United States,Virginia,Dulles,98174,,,,Add
"J-U-B Engineers, Inc.",Federal,Dept. of the Interior,BLM,,"J-U-B Engineers, Inc. 250 S. Beechwood Ave., Suite 201, Boise, ID 83709",United States,Virginia,Dulles,98174,,,,Add
"Kasteler Consulting, Inc.",Federal,Dept. of Defense,Army Corps,,"5720 Denali St Anchorage, AK ",United States,Virginia,Dulles,98174,,,,Add
Kurion,Federal,Dept. of Energy,,,"1355 Columbia Park Trail, Richland WA 99352",United States,Virginia,Dulles,98174,,,,Add
LANL,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
LDSS Corporation,Federal,Dept. of the Interior,BIA,,,United States,Virginia,Dulles,98174,,,,Add
Lockheed Martin Corporation,Federal,Dept. of Defense,Army,,"2339 Route 70 West, Cherry Hill NJ 08002-3315",United States,Virginia,Dulles,98174,,,,Add
Longenecker & Associates,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
LOS ALAMOS NATIONAL SECUR,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
"Los Alamos Technical Associates, Inc.",Federal,Dept. of Energy,,,"6501 Amaricas Parkway NE, Suite 200  Albuquerque, NM 87110",United States,Virginia,Dulles,98174,,,,Add
"Los Alsmos National Security, LLC",Federal,Dept. of Energy,,,"P.O. Box 1663, MS 997, Los Alamos, NM 87544 ",United States,Virginia,Dulles,98174,,,,Add
"Lucas Engineering and Management Services, Inc.",Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
