Customer Name,Customer Type,Department,Agency,Description,Address,Email,Abbreviation,Import Status,Reason,
Battelle Memorial Institute,Federal,Dept. of Energy,,,"Battelle Memorial Institute
Pacific Northwest Division 
902 Battelle Memorial Institute, J2-05
P.O. Box 999
Richland, WA  99352-0999",Joanne.Smith@pnnl.gov,DOE,Success,Customer added successfully.,
Battelle Pacific Northwest Division,Federal,Dept. of Energy,,,"Battelle Memorial Institute
Pacific North West National Laboratory
902 Battelle Boulevard
902 Box 999, MSIN J2-05",Joanne.smith@pnl.gov,DOE,Success,Customer added successfully.,
CHPRC Plateau Remediation Contract,Federal,Dept. of Energy,,,"CH2M Hill Plateau Remediation Company
Project Subcontracts
Bldg 2420
P.O. Box 1600
Richland, WA  99352",Mark_A_Steele@rl.gov,DOE,Success,Customer added successfully.,
"Los Alsmos National Security, LLC",Federal,Dept. of Energy,,,"P.O. Box 1663, MS 997, Los Alamos, NM 87544 ",juliek@lanl.gov,DOE,Success,Customer added successfully.,
URS - Washington Division,Federal,Dept. of Energy,,,"URS - Washington Division 
Energy Service Center
900 Trail Ridge Road
Aiken, SC 29803",,DOE,Success,Customer added successfully.,
OWT Industries,Commercial,,,,,,Commercial,Success,Customer added successfully.,
USACE Sacramento ,Federal,Dept. of Defense,Army Corps,,,angela.a.hermanson@usace.army.mil,Army Corps,Success,Updated Successfully,
Energy Solutions LLC,Federal,Dept. of Energy,,,,jscurtis@energysolutions.com,DOE,Success,Customer added successfully.,
"Areva Enrichment Services Operations, LLC",,,,,,,,Success,Customer added successfully.,
"Washington Closure Hanford, LLC",Federal,Dept. of Energy,,,"Washington Closure Hanford, LLC
2620 Fermi Avenue
Richland, WA 99354",jbsperli@wch-rcc.com,DOE,Success,Customer added successfully.,
"Paragon Consulting, Inc.",State Government,,,,,,State,Fail,Invalid customer type.,
"Washington Closure Hanford, LLC",Federal,Dept. of Energy,,,,jbsperli@wch-rcc.com,DOE,Success,Updated Successfully,
Regency Centers,Commercial,,,,"5335 Meadows Rd., Suite 295
Lake Oswego, OR  97035",kmagruder@regencycenters.com,Commercial,Success,Customer added successfully.,
Washington Closure Hanford,Federal,Dept. of Energy,,,,,DOE,Success,Updated Successfully,
Butler Engineering,Commercial,,,,,,Commercial,Success,Customer added successfully.,
"Lucas Engineering and Management Services, Inc.",Federal,Dept. of Energy,,,,tlsmith@lucasinc.com,DOE,Success,Customer added successfully.,
Communication Designs,Commercial,,,,,,Commercial,Success,Customer added successfully.,
ComDesigns,Federal,Dept. of Energy,,,"525 3rd Street, Idaho Falls, ID 83404",mike@comdesigns.com,DOE,Success,Customer added successfully.,
Fluor-B&W Portsmough,Federal,Dept. of Energy,,,,,DOE,Success,Customer added successfully.,
Test America,Commercial,,,,,,Commercial,Success,Customer added successfully.,
Paragon FBK,State Government,,,,,,State,Fail,Invalid customer type.,
AFCEC - Lonnie Wolfe PM,Federal,Dept. of Defense,Air Force,,,,Air Force,Success,Customer added successfully.,
"USACE, Alaska District",Federal,Dept. of Defense,Army Corps,,,,Army Corps,Success,Customer added successfully.,
Keller Associates,,,,,,,,Success,Customer added successfully.,
Chevron Phillips Chemical PR Core,Commercial,,,,"Chevron Phillips Chemical
10001 Six Pines Dr. 
The Woodlands, TX  77380",,Commercial,Success,Customer added successfully.,
Chevron Phillips Core - Puerto Rico,Commercial,,,,"Road 710 - Barrio Las Mareas, Guayama, PR 00784",valene@cpchem.com,Commercial,Success,Customer added successfully.,
Idaho Treatment Group (ITG),Federal,Dept. of Energy,,,,,DOE,Success,Customer added successfully.,
DOE,Federal,Dept. of Energy,,,,,DOE,Success,Customer added successfully.,
Weldin Construction,Commercial,,,,"561 Steel Loop
Palmer, AK  99645",liesas@weldin.com,Commercial,Success,Customer added successfully.,
AFCEE,Federal,Dept. of Defense,Air Force,,"2261 Hughes Ave. Ste 163 - Lackland AFB, TX 78236",gregorio.armand@us.af.mil,Air Force,Success,Customer added successfully.,
AFCEE,Federal,Dept. of Defense,Air Force,,"2261 Hughes Ave, Ste 163 - Lackland AFB, TX 78236",gregorio.armand@us.af.mil,Air Force,Success,Updated Successfully,
US Army,Federal,Dept. of Defense,Army Corps,,,,Army Corps,Success,Customer added successfully.,
"USACE, Alaska District",Federal,Dept. of Defense,Army Corps,,"PO Box 6898, Elmendorf AFB, AK 99506",clara.d.sullivan@usace.army.mil,Army Corps,Success,Updated Successfully,
"Battelle Energy Alliance, LLC",Federal,Dept. of Energy,,,"2525 Fremont Avenue
Idaho Falls, ID 83415-1303",angela.reese@inl.gov,DOE,Success,Customer added successfully.,
ORP,Federal,Dept. of Energy,,,,,DOE,Success,Customer added successfully.,
USACE Savannah District,,,,,,,,Success,Updated Successfully,
USFS - Salmon-Challis National Forest,Federal,Dept. of Agriculture,Forest Service,,"1405 Hollipark Dr. 
Idaho Falls, ID 83401",jbmartin@fs.fed.us,FS,Success,Customer added successfully.,
BEA,Federal,Dept. of Energy,,,,,DOE,Success,Customer added successfully.,
DOE NE,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",gravelap@id.doe.gov,DOE,Success,Customer added successfully.,
DOE,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",gravelap@id.doe.gov,DOE,Success,Updated Successfully,
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415 ",gravelap@id.doe.gov,DOE,Success,Customer added successfully.,
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415 
",gravelap@id.doe.gov,DOE,Success,Updated Successfully,
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",gravelap@id.doe.gov,DOE,Success,Updated Successfully,
"Orion Marine Contractors, Inc.",State Government,,,,,,State,Fail,Invalid customer type.,
US Army Eng Dist. St. Louis,Federal,Dept. of Defense,Army,,,,Army,Success,Customer added successfully.,
Encana,Commercial,,,,,,Commercial,Success,Customer added successfully.,
Encana Oil & Gas,Commercial,,,,,,Commercial,Success,Customer added successfully.,
Caribou-Targhee National Forest,Federal,Dept. of Agriculture,Forest Service,,,,FS,Success,Customer added successfully.,
"Kearns, McGinnis & Vandenberg, Inc.",Commercial,,,,,,Commercial,Success,Customer added successfully.,
Chevron Phillips Core - Puerto Rico,Commercial,,,,,,Commercial,Success,Updated Successfully,
IDAWY Acquisition Service Center,Federal,Dept. of Agriculture,Forest Service,,"1405 Hollipark Dr.
Idaho Falls, ID 83401",kjshaw@fs.fed.us,FS,Success,Customer added successfully.,
AFCEE,Federal,Dept. of Defense,Air Force,,"772 ESS/PKS
2261 Hughes Ave, Ste 155
Lackland AFB, TX 78236-9853",gregorio.armand@us.af.mil,Air Force,Success,Updated Successfully,
CDM Smith,Commercial,,,,,,Commercial,Success,Customer added successfully.,
Idaho Treatment Group,Federal,Dept. of Energy,,,,,DOE,Success,Customer added successfully.,
USACE Tulsa,Federal,Dept. of Defense,Army Corps,,,,Army Corps,Success,Customer added successfully.,
CDA Trust,Commercial,,,,,,Commercial,Success,Customer added successfully.,
BLM Utah,Federal,Dept. of the Interior,BLM,,"BLM Utah State Office
PO Box 45155
Salt Lake City, UT 84145-0155",jgoss@blm.gov,BLM,Success,Customer added successfully.,
BLM MT Western District OFC,Federal,Dept. of the Interior,BLM,,"106 North Parkmont
Butte, MT 59701",jaclyn_woods@blm.gov,BLM,Success,Customer added successfully.,
Merrick & Company,Federal,Dept. of Defense,Air Force,,"2450 S. Peoria Street
Aurora, Colorado 80014",carter.boardman@merrick.com,Air Force,Success,Customer added successfully.,
Spawar Systems Center Pacific,Federal,Dept. of Defense,Navy,,,jessica.black@navy.mil,Navy,Success,Customer added successfully.,
Naval Facilities Engineering Command Northwest Publics Works Department Kitsap,Federal,Dept. of Defense,Navy,,"Contract Officer 
Public Works Department 
Naval Base Kitsap Bangor
T075A Skate Street    
Silverdale, WA 98315
",mona.carlson@navy.mil   ,Navy,Success,Customer added successfully.,
GE Gas Turbine,Commercial,,,,,,Commercial,Success,Customer added successfully.,
GE Gas Turbines,Commercial,,,,"300 Garlington Road
Greenville, SC 29602-0648",william.hyde@ge.com,Commercial,Success,Customer added successfully.,
Current Tools,Commercial,,,,"1185 Syphrit Rd, Wllford, SC, 29385",JScovil@CurrentTools.com,Commercial,Success,Customer added successfully.,
"Agrium US, Inc.",Commercial,,,,"PO Box 5000, Station A, Calgary, Alberta, Canada T2H 3B9",mhilton@agrium.com,Commercial,Success,Customer added successfully.,
ComDesigns,Commercial,,,,"525 3rd Street, Idaho Falls, ID 83404",mike@comdesigns.com,Commercial,Success,Updated Successfully,
Chevron Phillips Chemical PR Core,Commercial,,,,"10001 Six Pines Dr. 4122A, The Woodlands TX  77380",mrozep@cpchem.com,Commercial,Success,Updated Successfully,
GE Gas Turbines,Commercial,,,,"300 Garlington Road, Greenville SC, 29602-0648",william.hyde@ge.com,Commercial,Success,Updated Successfully,
Mettler & Associates,Commercial,,,,"P.O. Box 2186, Cody, WY  82414",joannam@mettlerassociates.com,Commercial,Success,Customer added successfully.,
GE Gas Turbines,Commercial,,,,,william.hyde@ge.com,Commercial,Success,Updated Successfully,
"Brown Environmental, Inc.",Commercial,,,,"6739 Academy Road NE, Suite 254, Albuquerque, NM 87109",bill@brownenviro.com,Commercial,Success,Customer added successfully.,
One Stop Environmental,Commercial,,,,"413th CSB, Regional Contracting Office, 1064 Apple St. Ft Wainwright AK 99703",john.quarlesjr@us.army.mil,Commercial,Success,Customer added successfully.,
"Kail Consulting, LTD",Commercial,,,,"PO Box 684, Pinedale, WY 82941",kail@wyoming.com,Commercial,Success,Customer added successfully.,
BLM - Salt Lake City District,Federal,Dept. of the Interior,BLM,,"BLM Salt Lake District Office, P.O. Box 45155, Salt Lake City, UT 84145-0155",bbeckstrand@blm.gov,BLM,Success,Customer added successfully.,
"Pacific West, LLC",Commercial,,,,"1515 S 2200 W, Suite C, Salt Lake City, UT 84119",dhall@pacwestllc.com,Commercial,Success,Customer added successfully.,
CIRI,Tribal Government,,,,"Cook Inlet Region, Inc.
2525 C. Street, Suite 500
Anchorage, Alaska 99509",grazo@ciri.com,Tribal,Fail,Invalid customer type.,
Mettler & Associates,Commercial,,,,"P.O. Box 2186, Cody, WY 82414",,Commercial,Success,Updated Successfully,
FAA - Western Logistics Serv. Area,Federal,Dept. of Transportation,FAA,,"222 W 7th Ave. # 14, Anchorage, AK 99513",karla.shaw@faa.gov,FAA,Success,Customer added successfully.,
Federal-Mogul Corp,Commercial,,,,"2084 Rowesville Road, Hwy 21s, Orangeburg, SC 29115-2846
",Ray.Wardlaw@FederalMogul.com,Commercial,Success,Customer added successfully.,
Robert Bosch LLC,Commercial,,,,"4421 Highway 81 North, Anderson, SC 29621 USA 
",arianna.gailey@us.bosch.com,Commercial,Success,Customer added successfully.,
Norwest Corporation,Commercial,,,,"743 Horizen Court, Suite 372, Grand Junction, CO 81506",,Commercial,Success,Customer added successfully.,
CDA Trust,Commercial,,,,"1176 Big Creek Road, Kellogg, ID ",dmeyer@cda-trust.com,Commercial,Success,Updated Successfully,
South Carolina Department of Transportation,State Government,,,,"955 Park Street, Room 101, Columbia, SC 29201",stephensvw@scdot.org,State,Fail,Invalid customer type.,
Chevron Phillips Core - Puerto Rico,Commercial,,,,"Road 710 - Barrio Las Mareas
Guayama, PR 00784",valene@cpchem.com,Commercial,Success,Updated Successfully,
Chevron Phillips Core - Puerto Rico,Commercial,,,,"Road 710 - Barrio Las Mareas
Guayama, PR 00784",valene@cpchem.com,Commercial,Success,Updated Successfully,
Chevron Phillips Core - Puerto Rico,Commercial,,,,"Road 710 - Barrio Las Mareas
Guayama, PR  00784",valene@cpchem.com,Commercial,Success,Updated Successfully,
Chevron Phillips Core - Puerto Rico,Commercial,,,,"1400 Jefferson Rd.
Pasadena, TX  77501",sheald@cpchem.com,Commercial,Success,Updated Successfully,
Keller Associates,State Government,,,,"131 S.W. 5th Avenue, Suite A, Meridian, ID 83642",ncleaver@kellerassociates.com,State,Fail,Invalid customer type.,
US Coast Guard - FD & CC Pacific,Federal,Dept. of Homeland Security,Coast Guard,,"915 Second Ave, Room 2664
Seattle, WA 98174",kristina.m.meabon@uscg.mil,USCG,Success,Customer added successfully.,
Bechtel Marine Propulsion Corporation,Federal,Dept. of Defense,Navy,,"PO Box 2008
Idaho Falls, ID 83403-2008",richard.attebury@unnpp.gov,Navy,Success,Customer added successfully.,
BLM,Federal,Dept. of the Interior,BLM,,"1206 South Challis Street, Salmon, ID 83467",slnagel@blm.gov,BLM,Success,Customer added successfully.,
Michael Baker Corporation,Commercial,,,,"2004 Jennie Lee Dr.
Idaho Falls, ID 83404",mvarvel@mbakercorp.com,Commercial,Success,Customer added successfully.,
US Coast Guard - FD & CC Pacific,Federal,Dept. of Homeland Security,Coast Guard,,"915 2nd Ave. Room 2664
Seattle, WA 98174-1011",kristina.m.meabon@uscg.mil,USCG,Success,Updated Successfully,
US Coast Guard - FD & CC Pacific,Federal,Dept. of Homeland Security,Coast Guard,,"915 2nd Ave, Room 2664
Seattle WA, 98174-1011",Kristina.m.meabon@uscg.mil,USCG,Success,Updated Successfully,
US Coast Guard - FD & CC Pacific,Federal,Dept. of Homeland Security,Coast Guard,,915 2nd Ave. Room 2664
Seattle WA 98174-1011,krstina.m.meabon@uscg.mil,USCG,Success,Updated Successfully,
Bureau of Reclamation - Colorado,Federal,Dept. of the Interior,BOR,,"PO Box 25007
Denver CO, 80225-007",ppierson@usbr.gov,BOR,Success,Customer added successfully.,
Citizens Community Bank,Commercial,,,,"PO Box 1689, Pocatello, ID 83204",DHeiner@ccb-idaho.com,Commercial,Success,Customer added successfully.,
Fluor-B&W Portsmouth LLC,Federal,Dept. of Energy,,,"Fluor-B&W Portsmouth LLC, P.O. Box 548, Piketon, OH 45661",noah.beasley@fbports.com,DOE,Success,Customer added successfully.,
GE Gas Turbines,Commercial,,,,"300 Garlington Road, Greenville, SC 29602",william.hyde@ge.com,Commercial,Success,Updated Successfully,
CDM Smith,Commercial,,,,"5400 Glenwood Ave, Suite 300, Raleigh, NC 27612",weispfenningam@cdmsmith.com,Commercial,Success,Updated Successfully,
Chevron Phillips Core - Puerto Rico,Commercial,,,,"PO Box 792
Pasadena, TX  77501",sheald@cpchem.com,Commercial,Success,Updated Successfully,
DOE - Idaho Operations Office,Federal,Dept. of Energy,,,,gravelap@id.doe.gov,DOE,Success,Customer added successfully.,
BEA,Federal,Dept. of Energy,,,"2525 Freemont Avenue, Idaho Falls, ID 83415",george.wood@inl.gov,DOE,Success,Updated Successfully,
USACE Savannah District,Federal,Dept. of Defense,Army Corps,,"100 W. Oglethorpe Ave., Savannah, GA 31401",gosia.m.thompson@usace.army.mil,Army Corps,Success,Updated Successfully,
GE Gas Turbines,Commercial,,,,"300 Garlington Road, Greenville, SC 29615",william.hyde@ge.com,Commercial,Success,Updated Successfully,
"USACE, Tulsa District",Federal,Dept. of Defense,Army Corps,,"Contracting Division USAED, Tulsa
1645 S 101 E Ave.
Tulsa, OK 74128-4609",kenneth.kebbell@usace.army.mil,Army Corps,Success,Updated Successfully,
"Robert Bosch, LLC",Commercial,,,,"Robert Bosch LLC
Indirect Purchasing Organization (AdP/PUR4)
4421 North Highway 81
Anderson, SC 29621
",Arianna.Gailey@us.bosch.com,Commercial,Success,Customer added successfully.,
Federal-Mogul Corporation,Commercial,,,,"Federal-Mogul Corporation
20 Aberdeen Drive
Glasgow, Kentucky 42141
",Charles.Jones@federalmogul.com,Commercial,Success,Customer added successfully.,
BLM Nevada,Federal,Dept. of the Interior,BLM,,"BLM NV State OFC BDGT & FIN, 1340 Financial BLVD., Reno, NV 89502",k1fergus@blm.gov,BLM,Success,Customer added successfully.,
"Denbury Resources, Inc.",Commercial,,,,,,Commercial,Success,Customer added successfully.,
"Areva Enrichment Services Operations, LLC",Commercial,,,,,,Commercial,Success,Updated Successfully,
"Brown Environmental, Inc.",Commercial,,,,,,Commercial,Success,Updated Successfully,
PMD Lakeside,Commercial,,,,"301 S Buncombe Road, Suite F, Greer SC  29650",kevin@pmdlakeside.com,Commercial,Success,Customer added successfully.,
BLM AZ - State Office Admin Services,Federal,Dept. of the Interior,BLM,,"One N. Central Ave, Suite 800
Phoenix, AC 85004",dcappell@blm.gov,BLM,Success,Customer added successfully.,
Bechtel Marine Propulsion Corporation,Commercial,,,,"Naval Reactors Facility / INL
Scoville, ID 83415",shane.peterson@unnpp.gov,Commercial,Success,Updated Successfully,
US Coast Guard - FD & CC Pacific,Federal,Dept. of Homeland Security,Coast Guard,,"915 Second Ave., Room 2664
Seattle, WA  98174-1011",Kristina.m.meabon@uscg.mil,USCG,Success,Updated Successfully,
USACE Omaha District,Federal,Dept. of Defense,Army,,"1616 Capital Ave.
Omaha, NE 68102-4901",Constance.r.ellard@usace.army.mil,Army,Success,Customer added successfully.,
DOE Idaho,Federal,Dept. of Energy,,,,,DOE,Success,Updated Successfully,
Home Care Pulse,Commercial,,,,237 N. 2nd E. Suite #200,,Commercial,Success,Customer added successfully.,
USACE Savannah District,Federal,Dept. of Defense,Army Corps,,"USACE Savannah District, 100 W. Oglethorpe Avenue, Savannah, GA 31041-3640",addison.g.layfield@usace.army.mil,Army Corps,Success,Updated Successfully,
CH2M Hill Plateau Remediation Company,Federal,Dept. of Energy,,,CH2M Hill Plateau Remediation 
PO Box 1600 Mail Stop: H8-41
Richland WA 99352,Mark_A_Steele@rl.gov,DOE,Success,Customer added successfully.,
U.S. Army Yuma Proving Ground,Federal,Dept. of Defense,Army,,"U.S. Army YPG-MICC-Yuma, 301 C Street, Bldg 2364, Rm 101, Yuma, AZ",samuel.colton@us.army.mil,Army,Success,Customer added successfully.,
U.S. Army Yuma Proving Ground,Federal,Dept. of Defense,Army,,"U.S. Army YPG-MICC-Yuma, 301 C Street, Bldg 2364, Rm 101, Yuma, AZ",samuel.colton@us.army.mil,Army,Success,Updated Successfully,
Chevron Phillips,Commercial,,,,,,Commercial,Success,Customer added successfully.,
"Wastren Advantage, Inc.",Federal,Dept. of Energy,,,"Wastren Advantage, Inc, 100 Wipp Road, Lenoir City, TN 37771",granda.humphrey@truproject.com,DOE,Success,Customer added successfully.,
"Riedesel Engineering, Inc.",Commercial,,,,"202 Falls Avenue, Twin Falls, ID 83301",sshuler@riedeseleng.com,Commercial,Success,Customer added successfully.,
Diversified Metal,Commercial,,,,3710 North Yellowstone Highway,brianm@diversifiedmetal.com,Commercial,Success,Customer added successfully.,
Battelle Memorial Institute,Federal,Dept. of Energy,,,"Joanne D. Smith
Battelle Memorial Institute, Pacific Northwest Division
902 Battelle Boulevard, J2-05
P.O. Box 999
Richland, WA 99352-0999",joanne.smith@pnnl.gov,DOE,Success,Updated Successfully,
"AFCEE, Denver Fed Center",Federal,Dept. of Defense,Air Force,,"2261 Hughes Ave, Suite 163
Lackland AFB, TX 78236-9853",david.foote.2@us.af.mil,Air Force,Success,Customer added successfully.,
US Coast Guard - FD & CC Pacific,Federal,Dept. of Homeland Security,Coast Guard,,"915 Second Ave., Room 2664
Seattle, WA  98174-1011",kristina.m.meabon@uscg.mil,USCG,Success,Updated Successfully,
Bureau of Reclamation - Colorado,Federal,Dept. of the Interior,BOR,,"PO Box 25007, 84-27810
Denver, CO 80225-0007",ronaldgraham@usbr.gov,BOR,Success,Updated Successfully,
"Keller Associates, Inc.",Commercial,,,,"Keller Associates, Inc
305 North 3rd Ave., Suite A
Pocatello, ID 83201",,Commercial,Success,Customer added successfully.,
Mike Colvin,Commercial,,,,,,Commercial,Success,Customer added successfully.,
BLM Montana,Federal,Dept. of the Interior,BLM,,,,BLM,Success,Customer added successfully.,
LANL,Federal,Dept. of Energy,,,,,DOE,Success,Customer added successfully.,
Blackman Uhler Specialties,Commercial,,,,,,Commercial,Success,Customer added successfully.,
BLM Idaho,Federal,Dept. of the Interior,BLM,,,,BLM,Success,Customer added successfully.,
"Wastren Advantage, Inc.",Federal,Dept. of Energy,,,"TRU Waste Processing Center, 100 WIPP Road, Lenior City, TN 37771",granda.humphrey@truproject.com,DOE,Success,Updated Successfully,
GE Gas Turbines,Commercial,,,,"300 Garlinton Road, Greenville SC 29602",william.hyde@ge.com,Commercial,Success,Updated Successfully,
DOE/NNSA,Federal,Dept. of Energy,,,"NNSA Headquaters
1000 Independence Avenue, S.W.
Washington DC 20585",,DOE,Success,Customer added successfully.,
US Coast Guard - FD & CC Pacific,Federal,Dept. of Homeland Security,Coast Guard,,"915 Second Ave. Room 2664
Seattle, WA 98174-1011",Kristina.m.meabon@uscg.mil,USCG,Success,Updated Successfully,
One Stop Environmental,Commercial,,,,,john.quarlesjr@us.army.mil,Commercial,Success,Updated Successfully,
Coeur d'Alene Trust,Commercial,,,,"P.O. Box 570
1176 Big Creek Road
Kellogg, ID 83837-0570",dmeyer@cda-trust.com,Commercial,Success,Customer added successfully.,
CDM Smith,Commercial,,,,"CDM Smith
3715 Northside Parkway NW
Building 300 Suite 400
Atlanta, GA 30327",fullernd@cdm.com,Commercial,Success,Updated Successfully,
Pacific Northwest National Laboratory,Federal,Dept. of Energy,,,"Battelle Memorial Institute, Pacific Northwest Division
902 Battelle Boulevard, J2-05
P.O. Box 999
Richland, WA 99352-0999","Smith, Joanne D <Joanne.Smith@pnnl.gov>",DOE,Success,Customer added successfully.,
"Kail Consulting, LTD",Commercial,,,,"PO Box 684
Pinedale, WY",kail@wyoming.com,Commercial,Success,Updated Successfully,
Cooper & Larsen,Commercial,,,,"151 North 3rd avenue, suite 210, Pocatello, ID 83201",gary@cooper-larsen.com,Commercial,Success,Customer added successfully.,
"Pacific West, LLC",Commercial,,,,"1515 S 2200 W, Suite C
Salt Lake City, UT 84119",dhall@pacwestllc.com,Commercial,Success,Updated Successfully,
BLM Idaho,Federal,Dept. of the Interior,BLM,,"3948 Development Avenue, Boise, ID 83705 ",nbachman@blm.gov,BLM,Success,Updated Successfully,
"Battelle Memorial Institute, Pacific Northwest Division",Federal,Dept. of Energy,,,"Battelle Memorial Institute
Pacific Northwest Division
902 Battelle Boulevard, J2-05
P.O. Box 999
Richland, WA 99352-0999 USA",joanne.smith@pnnl.gov,DOE,Success,Customer added successfully.,
Chevron Phillips Core - Puerto Rico,Commercial,,,,"PO Box 792
Pasadena, TX 77501",sheald@cpchem.com,Commercial,Success,Updated Successfully,
BLM Nevada,Federal,Dept. of the Interior,BLM,,,k1fergus@blm.gov,BLM,Success,Updated Successfully,
FEDERAL AVIATION ADMINISTRATION,Federal,"TRANSPORTATION, DEPARTMENT OF",IMMEDIATE OFFICE OF THE SECRETARY OF TRANSPORTATION,,"Acquisition Group AAQ-530
1401 Lind Ave SW
Renton, WA  98057",pat.vikesland@faa.gov,FAA,Success,Customer added successfully.,
"RockTenn CP, LLC",Commercial,,,,"PO Box 100544, Florence, SC 29501",efountai@rocktenn.com,Commercial,Success,Customer added successfully.,
BLM,Federal,Dept. of the Interior,BLM,,,nbachman@blm.gov,BLM,Success,Updated Successfully,
Coeur d' Alene Trust,Commercial,,,,,dsilver@cda-trust.com,Commercial,Success,Customer added successfully.,
Citizens Community Bank,Commercial,,,,"PO Box 1689, Pocatello, ID 83402",odevaud@ccb-idaho.com,Commercial,Success,Updated Successfully,
Norwest Corporation,Commercial,,,,"743 Horizon Court, Suite 372
Grand Junction, CO 81506",kreaume@norwestcrop.com,Commercial,Success,Updated Successfully,
QEP Field Services Co.,Commercial,,,,"170 S Main St, Suite 300
Salt Lake City, UT 84101",ann.harding@qepres.com,Commercial,Success,Customer added successfully.,
"US Army Corps of Engineers, Alaska Dist.",Federal,Dept. of Defense,Army Corps,,"PO Box 6898
JBER, AK 99506-6898",michael.d.suprenant@usace.army.mil,Army Corps,Success,Customer added successfully.,
DOE - Idaho Operations,Federal,Dept. of Energy,,,DOE - Idaho Operations Office,gravelap@id.doe.gov,DOE,Success,Customer added successfully.,
Battelle Memorial Institute - Pacific Northwest Division,Federal,Dept. of Energy,,,"Battelle Memorial Institute
Pacific Northwest Division
902 Battelle Boulevard, J2-05
P.O. Box 999
Richland, WA 99352-0999",joanne.smith@pnnl.gov,DOE,Success,Customer added successfully.,
EMCBC - DOE,Federal,Dept. of Energy,,,"DOE EMCBC
250 East 5th Street, Suite 500
Cincinnati, OH 45202",,DOE,Success,Customer added successfully.,
DOE EMCBC,Federal,Dept. of Energy,,,"250 E. 5th Street, Suite 500
Cincinnati OH 45202",barry.page@emcbc.doe.gov,DOE,Success,Customer added successfully.,
Chevron Phillips Core - Puerto Rico,Commercial,,,,"PO Box 792 
Pasadena, TX 77501",sheald@cpchem.com,Commercial,Success,Updated Successfully,
Shaw Group,Federal,Dept. of Defense,Army Corps,,"CB&I
4005 Port Chicago Hwy
Concord, CA 94520",joanna.munns@cbi.com,Army Corps,Success,Customer added successfully.,
