Customer Name,Customer Type,Department,Agency,Description,Address,Country,State,City,Zip Code,Email,PhoneNo,Abbreviation,Action
,Federal,Dept. of the Interior,BOR,,,United States,Virginia,Dulles,98174,,,,Add
,State Government,,,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
CIRI,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
"Communication Designs, Inc.",Federal,Dept. of Energy,,,"394 10th Street
Idaho Falls, ID 83404

http://www.comdesigns.com",United States,Virginia,Dulles,98174,,,,Add
Mountain Home AFB,Federal,Dept. of Defense,Air Force,,"366 Gunfighter Ave. Suite 498
Mountain Home AFB, ID 83648-5258",United States,Virginia,Dulles,98174,,,,Add
,Commercial,,,,"Home Care Pulse
305 W. Main St. Rexburg, ID 83440",United States,Virginia,Dulles,98174,,,,Add
Washington Closure Hanford,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
Army,Federal,Dept. of Defense,Army,,,United States,Virginia,Dulles,98174,,,,Add
Lockheed Martin Corporation,Federal,Dept. of Defense,Army,,"2339 Route 70 West, Cherry Hill NJ 08002-3315",United States,Virginia,Dulles,98174,,,,Add
Fred Biebesheimer,Federal,Dept. of Energy,,,"CH2M Hill Plateau Remediation
P.O. Box 1600
Richland, WA 99352",United States,Virginia,Dulles,98174,,,,Add
Battelle Memorial Institute,Federal,Dept. of Energy,,,"Battelle Memorial Institute
Pacific Northwest Division 
902 Battelle Memorial Institute, J2-05
P.O. Box 999
Richland, WA  99352-0999",United States,Virginia,Dulles,98174,,,,Add
Battelle Pacific Northwest Division,Federal,Dept. of Energy,,,"Battelle Memorial Institute
Pacific North West National Laboratory
902 Battelle Boulevard
902 Box 999, MSIN J2-05",United States,Virginia,Dulles,98174,,,,Add
CHPRC Plateau Remediation Contract,Federal,Dept. of Energy,,,"CH2M Hill Plateau Remediation Company
Project Subcontracts
Bldg 2420
P.O. Box 1600
Richland, WA  99352",United States,Virginia,Dulles,98174,,,,Add
"Los Alsmos National Security, LLC",Federal,Dept. of Energy,,,"P.O. Box 1663, MS 997, Los Alamos, NM 87544 ",United States,Virginia,Dulles,98174,,,,Add
URS - Washington Division,Federal,Dept. of Energy,,,"URS - Washington Division 
Energy Service Center
900 Trail Ridge Road
Aiken, SC 29803",United States,Virginia,Dulles,98174,,,,Add
OWT Industries,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
USACE Sacramento ,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
Energy Solutions LLC,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
"Areva Enrichment Services Operations, LLC",,,,,,United States,Virginia,Dulles,98174,,,,Add
"Washington Closure Hanford, LLC",Federal,Dept. of Energy,,,"Washington Closure Hanford, LLC
2620 Fermi Avenue
Richland, WA 99354",United States,Virginia,Dulles,98174,,,,Add
"Paragon Consulting, Inc.",State Government,,,,,United States,Virginia,Dulles,98174,,,,Add
"Washington Closure Hanford, LLC",Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
Regency Centers,Commercial,,,,"5335 Meadows Rd., Suite 295
Lake Oswego, OR  97035",United States,Virginia,Dulles,98174,,,,Add
Washington Closure Hanford,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
Butler Engineering,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
"Lucas Engineering and Management Services, Inc.",Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
Communication Designs,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
ComDesigns,Federal,Dept. of Energy,,,"525 3rd Street, Idaho Falls, ID 83404",United States,Virginia,Dulles,98174,,,,Add
Fluor-B&W Portsmough,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
Test America,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
Paragon FBK,State Government,,,,,United States,Virginia,Dulles,98174,,,,Add
AFCEC - Lonnie Wolfe PM,Federal,Dept. of Defense,Air Force,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Defense,Army,,,United States,Virginia,Dulles,98174,,,,Add
"USACE, Alaska District",Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
Keller Associates,,,,,,United States,Virginia,Dulles,98174,,,,Add
Chevron Phillips Chemical PR Core,Commercial,,,,"Chevron Phillips Chemical
10001 Six Pines Dr. 
The Woodlands, TX  77380",United States,Virginia,Dulles,98174,,,,Add
Chevron Phillips Core - Puerto Rico,Commercial,,,,"Road 710 - Barrio Las Mareas, Guayama, PR 00784",United States,Virginia,Dulles,98174,,,,Add
Idaho Treatment Group (ITG),Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
DOE,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
Weldin Construction,Commercial,,,,"561 Steel Loop
Palmer, AK  99645",United States,Virginia,Dulles,98174,,,,Add
,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
AFCEE,Federal,Dept. of Defense,Air Force,,"2261 Hughes Ave. Ste 163 - Lackland AFB, TX 78236",United States,Virginia,Dulles,98174,,,,Add
AFCEE,Federal,Dept. of Defense,Air Force,,"2261 Hughes Ave, Ste 163 - Lackland AFB, TX 78236",United States,Virginia,Dulles,98174,,,,Add
AFCEE,Federal,Dept. of Defense,Air Force,,"2261 Hughes Ave, Ste 163 - Lackland AFB, TX 78236",United States,Virginia,Dulles,98174,,,,Add
US Army,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
"USACE, Alaska District",Federal,Dept. of Defense,Army Corps,,"PO Box 6898, Elmendorf AFB, AK 99506",United States,Virginia,Dulles,98174,,,,Add
"Battelle Energy Alliance, LLC",Federal,Dept. of Energy,,,"2525 Fremont Avenue
Idaho Falls, ID 83415-1303",United States,Virginia,Dulles,98174,,,,Add
ORP,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
USACE Savannah District,,,,,,United States,Virginia,Dulles,98174,,,,Add
USFS - Salmon-Challis National Forest,Federal,Dept. of Agriculture,Forest Service,,"1405 Hollipark Dr. 
Idaho Falls, ID 83401",United States,Virginia,Dulles,98174,,,,Add
BEA,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
DOE NE,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
DOE,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415 ",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415 
",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
"Orion Marine Contractors, Inc.",State Government,,,,,United States,Virginia,Dulles,98174,,,,Add
US Army Eng Dist. St. Louis,Federal,Dept. of Defense,Army,,,United States,Virginia,Dulles,98174,,,,Add
Encana,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
Encana Oil & Gas,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
Caribou-Targhee National Forest,Federal,Dept. of Agriculture,Forest Service,,,United States,Virginia,Dulles,98174,,,,Add
"Kearns, McGinnis & Vandenberg, Inc.",Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
Chevron Phillips Core - Puerto Rico,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
IDAWY Acquisition Service Center,Federal,Dept. of Agriculture,Forest Service,,"1405 Hollipark Dr.
Idaho Falls, ID 83401",United States,Virginia,Dulles,98174,,,,Add
,Commercial,,,,"Federal Mogul Corporation 
EHS Manager
Vehicle Safety & Protection - Friction 
Smithville,TN 37166 
",United States,Virginia,Dulles,98174,,,,Add
,Commercial,,,,"Federal Mogul Corporation 
EHS Manager
Vehicle Safety & Protection - Friction 
Smithville,TN 37166 
",United States,Virginia,Dulles,98174,,,,Add
AFCEE,Federal,Dept. of Defense,Air Force,,"772 ESS/PKS
2261 Hughes Ave, Ste 155
Lackland AFB, TX 78236-9853",United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Defense,Army,,"U.S. Yuma Proving Ground
Building 2710
Yuma, AZ  85365-9498",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
CDM Smith,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
CDM Smith,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
Idaho Treatment Group,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
USACE Tulsa,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Homeland Security,Coast Guard,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Defense,Army,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Defense,Army,,,United States,Virginia,Dulles,98174,,,,Add
,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of Defense,Army Corps,,,United States,Virginia,Dulles,98174,,,,Add
CDA Trust,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
CDA Trust,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
CDA Trust,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
BLM Utah,Federal,Dept. of the Interior,BLM,,"BLM Utah State Office
PO Box 45155
Salt Lake City, UT 84145-0155",United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
,Federal,Dept. of the Interior,BLM,,,United States,Virginia,Dulles,98174,,,,Add
BLM MT Western District OFC,Federal,Dept. of the Interior,BLM,,"106 North Parkmont
Butte, MT 59701",United States,Virginia,Dulles,98174,,,,Add
Merrick & Company,Federal,Dept. of Defense,Air Force,,"2450 S. Peoria Street
Aurora, Colorado 80014",United States,Virginia,Dulles,98174,,,,Add
Spawar Systems Center Pacific,Federal,Dept. of Defense,Navy,,,United States,Virginia,Dulles,98174,,,,Add
Naval Facilities Engineering Command Northwest Publics Works Department Kitsap,Federal,Dept. of Defense,Navy,,"Contract Officer 
Public Works Department 
Naval Base Kitsap Bangor
T075A Skate Street    
Silverdale, WA 98315
",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho,Federal,Dept. of Energy,,,"1955 Fremont
Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
GE Gas Turbine,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
GE Gas Turbine,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
GE Gas Turbine,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
GE Gas Turbines,Commercial,,,,"300 Garlington Road
Greenville, SC 29602-0648",United States,Virginia,Dulles,98174,,,,Add
Current Tools,Commercial,,,,"1185 Syphrit Rd, Wllford, SC, 29385",United States,Virginia,Dulles,98174,,,,Add
"Agrium US, Inc.",Commercial,,,,"PO Box 5000, Station A, Calgary, Alberta, Canada T2H 3B9",United States,Virginia,Dulles,98174,,,,Add
ComDesigns,Commercial,,,,"525 3rd Street, Idaho Falls, ID 83404",United States,Virginia,Dulles,98174,,,,Add
Chevron Phillips Chemical PR Core,Commercial,,,,"10001 Six Pines Dr. 4122A, The Woodlands TX  77380",United States,Virginia,Dulles,98174,,,,Add
GE Gas Turbines,Commercial,,,,"300 Garlington Road, Greenville SC, 29602-0648",United States,Virginia,Dulles,98174,,,,Add
Mettler & Associates,Commercial,,,,"P.O. Box 2186, Cody, WY  82414",United States,Virginia,Dulles,98174,,,,Add
GE Gas Turbines,Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
"Brown Environmental, Inc.",Commercial,,,,"6739 Academy Road NE, Suite 254, Albuquerque, NM 87109",United States,Virginia,Dulles,98174,,,,Add
One Stop Environmental,Commercial,,,,"413th CSB, Regional Contracting Office, 1064 Apple St. Ft Wainwright AK 99703",United States,Virginia,Dulles,98174,,,,Add
"Kail Consulting, LTD",Commercial,,,,"PO Box 684, Pinedale, WY 82941",United States,Virginia,Dulles,98174,,,,Add
"Kail Consulting, LTD",Commercial,,,,"PO Box 684, Pinedale, WY 82941",United States,Virginia,Dulles,98174,,,,Add
BLM - Salt Lake City District,Federal,Dept. of the Interior,BLM,,"BLM Salt Lake District Office, P.O. Box 45155, Salt Lake City, UT 84145-0155",United States,Virginia,Dulles,98174,,,,Add
"Pacific West, LLC",Commercial,,,,"1515 S 2200 W, Suite C, Salt Lake City, UT 84119",United States,Virginia,Dulles,98174,,,,Add
CIRI,Tribal Government,,,,"Cook Inlet Region, Inc.
2525 C. Street, Suite 500
Anchorage, Alaska 99509",United States,Virginia,Dulles,98174,,,,Add
Mettler & Associates,Commercial,,,,"P.O. Box 2186, Cody, WY 82414",United States,Virginia,Dulles,98174,,,,Add
FAA - Western Logistics Serv. Area,Federal,Dept. of Transportation,FAA,,"222 W 7th Ave. # 14, Anchorage, AK 99513",United States,Virginia,Dulles,98174,,,,Add
"Battelle Memorial Institute, Pacific Northwest Division (operating the Pacific Northwest National Laboratory)",Federal,Dept. of Energy,,,"Joanne D. Smith
Senior Contract Specialist
Battelle Memorial Institute, Pacific Northwest Division
   (operating the Pacific Northwest National Laboratory
   for the U.S. Department of Energy)
902 Battelle Boulevard
P.O. Box 999, MSIN:  J2-05
Richland, WA  99352  USA
Tel:   509-371-7269
Fax:  509-375-2345
Cell:  509-460-6544
joanne.smith@pnnl.gov
www.pnnl.gov
",United States,Virginia,Dulles,98174,,,,Add
Federal-Mogul Corp,Commercial,,,,"2084 Rowesville Road, Hwy 21s, Orangeburg, SC 29115-2846
",United States,Virginia,Dulles,98174,,,,Add
Robert Bosch LLC,Commercial,,,,"4421 Highway 81 North, Anderson, SC 29621 USA 
",United States,Virginia,Dulles,98174,,,,Add
Norwest Corporation,Commercial,,,,"743 Horizen Court, Suite 372, Grand Junction, CO 81506",United States,Virginia,Dulles,98174,,,,Add
CDA Trust,Commercial,,,,"1176 Big Creek Road, Kellogg, ID ",United States,Virginia,Dulles,98174,,,,Add
South Carolina Department of Transportation,State Government,,,,"955 Park Street, Room 101, Columbia, SC 29201",United States,Virginia,Dulles,98174,,,,Add
Chevron Phillips Core - Puerto Rico,Commercial,,,,"Road 710 - Barrio Las Mareas
Guayama, PR 00784",United States,Virginia,Dulles,98174,,,,Add
Chevron Phillips Core - Puerto Rico,Commercial,,,,"Road 710 - Barrio Las Mareas
Guayama, PR 00784",United States,Virginia,Dulles,98174,,,,Add
Chevron Phillips Core - Puerto Rico,Commercial,,,,"Road 710 - Barrio Las Mareas
Guayama, PR 00784",United States,Virginia,Dulles,98174,,,,Add
Chevron Phillips Core - Puerto Rico,Commercial,,,,"Road 710 - Barrio Las Mareas
Guayama, PR  00784",United States,Virginia,Dulles,98174,,,,Add
Chevron Phillips Core - Puerto Rico,Commercial,,,,"1400 Jefferson Rd.
Pasadena, TX  77501",United States,Virginia,Dulles,98174,,,,Add
Keller Associates,State Government,,,,"131 S.W. 5th Avenue, Suite A, Meridian, ID 83642",United States,Virginia,Dulles,98174,,,,Add
US Coast Guard - FD & CC Pacific,Federal,Dept. of Homeland Security,Coast Guard,,"915 Second Ave, Room 2664
Seattle, WA 98174",United States,Virginia,Dulles,98174,,,,Add
Bechtel Marine Propulsion Corporation,Federal,Dept. of Defense,Navy,,"PO Box 2008
Idaho Falls, ID 83403-2008",United States,Virginia,Dulles,98174,,,,Add
BLM,Federal,Dept. of the Interior,BLM,,"1206 South Challis Street, Salmon, ID 83467",United States,Virginia,Dulles,98174,,,,Add
Michael Baker Corporation,Commercial,,,,"2004 Jennie Lee Dr.
Idaho Falls, ID 83404",United States,Virginia,Dulles,98174,,,,Add
US Coast Guard - FD & CC Pacific,Federal,Dept. of Homeland Security,Coast Guard,,"915 2nd Ave. Room 2664
Seattle, WA 98174-1011",United States,Virginia,Dulles,98174,,,,Add
US Coast Guard - FD & CC Pacific,Federal,Dept. of Homeland Security,Coast Guard,,"915 2nd Ave, Room 2664
Seattle WA, 98174-1011",United States,Virginia,Dulles,98174,,,,Add
US Coast Guard - FD & CC Pacific,Federal,Dept. of Homeland Security,Coast Guard,,"915 2nd Ave. Room 2664
Seattle WA 98174-1011",United States,Virginia,Dulles,98174,,,,Add
Bureau of Reclamation - Colorado,Federal,Dept. of the Interior,BOR,,"PO Box 25007
Denver CO, 80225-007",United States,Virginia,Dulles,98174,,,,Add
Chevron Phillips Core - Puerto Rico,Commercial,,,,"Road 710 - Barrio Las Mareas
Guayama, PR 00784",United States,Virginia,Dulles,98174,,,,Add
Citizens Community Bank,Commercial,,,,"PO Box 1689, Pocatello, ID 83204",United States,Virginia,Dulles,98174,,,,Add
Fluor-B&W Portsmouth LLC,Federal,Dept. of Energy,,,"Fluor-B&W Portsmouth LLC, P.O. Box 548, Piketon, OH 45661",United States,Virginia,Dulles,98174,,,,Add
GE Gas Turbines,Commercial,,,,"300 Garlington Road, Greenville, SC 29602",United States,Virginia,Dulles,98174,,,,Add
CDM Smith,Commercial,,,,"5400 Glenwood Ave, Suite 300, Raleigh, NC 27612",United States,Virginia,Dulles,98174,,,,Add
Chevron Phillips Core - Puerto Rico,Commercial,,,,"PO Box 792
Pasadena, TX  77501",United States,Virginia,Dulles,98174,,,,Add
Chevron Phillips Core - Puerto Rico,Commercial,,,,"PO Box 792
Pasadena, TX  77501",United States,Virginia,Dulles,98174,,,,Add
Chevron Phillips Core - Puerto Rico,Commercial,,,,"Po Box 792
Pasadena, TX  77501",United States,Virginia,Dulles,98174,,,,Add
DOE - Idaho Operations Office,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
BEA,Federal,Dept. of Energy,,,"2525 Freemont Avenue, Idaho Falls, ID 83415",United States,Virginia,Dulles,98174,,,,Add
USACE Savannah District,Federal,Dept. of Defense,Army Corps,,"100 W. Oglethorpe Ave., Savannah, GA 31401",United States,Virginia,Dulles,98174,,,,Add
GE Gas Turbines,Commercial,,,,"300 Garlington Road, Greenville, SC 29615",United States,Virginia,Dulles,98174,,,,Add
"USACE, Tulsa District",Federal,Dept. of Defense,Army Corps,,"Contracting Division USAED, Tulsa
1645 S 101 E Ave.
Tulsa, OK 74128-4609",United States,Virginia,Dulles,98174,,,,Add
"Robert Bosch, LLC",Commercial,,,,"Robert Bosch LLC
Indirect Purchasing Organization (AdP/PUR4)
4421 North Highway 81
Anderson, SC 29621
",United States,Virginia,Dulles,98174,,,,Add
Federal-Mogul Corporation,Commercial,,,,"Federal-Mogul Corporation
20 Aberdeen Drive
Glasgow, Kentucky 42141
",United States,Virginia,Dulles,98174,,,,Add
BLM Nevada,Federal,Dept. of the Interior,BLM,,"BLM NV State OFC BDGT & FIN, 1340 Financial BLVD., Reno, NV 89502",United States,Virginia,Dulles,98174,,,,Add
"Denbury Resources, Inc.",Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
"Areva Enrichment Services Operations, LLC",Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
"Brown Environmental, Inc.",Commercial,,,,,United States,Virginia,Dulles,98174,,,,Add
PMD Lakeside,Commercial,,,,"301 S Buncombe Road, Suite F, Greer SC  29650",United States,Virginia,Dulles,98174,,,,Add
BLM AZ - State Office Admin Services,Federal,Dept. of the Interior,BLM,,"One N. Central Ave, Suite 800
Phoenix, AC 85004",United States,Virginia,Dulles,98174,,,,Add
Bechtel Marine Propulsion Corporation,Commercial,,,,"Naval Reactors Facility / INL
Scoville, ID 83415",United States,Virginia,Dulles,98174,,,,Add
US Coast Guard - FD & CC Pacific,Federal,Dept. of Homeland Security,Coast Guard,,"915 Second Ave., Room 2664
Seattle, WA  98174-1011",United States,Virginia,Dulles,98174,,,,Add
USACE Omaha District,Federal,Dept. of Defense,Army,,"1616 Capital Ave.
Omaha, NE 68102-4901",United States,Virginia,Dulles,98174,,,,Add
DOE Idaho,Federal,Dept. of Energy,,,,United States,Virginia,Dulles,98174,,,,Add
Home Care Pulse,Commercial,,,,237 N. 2nd E. Suite #200,United States,Virginia,Dulles,98174,,,,Add
USACE Savannah District,Federal,Dept. of Defense,Army Corps,,"USACE Savannah District, 100 W. Oglethorpe Avenue, Savannah, GA 31041-3640",United States,Virginia,Dulles,98174,,,,Add
Chevron Phillips Core - Puerto Rico,Commercial,,,,"Road 710 - Barrio Las Mareas
Guayama, PR 00784",United States,Virginia,Dulles,98174,,,,Add
