FarClauseGuid,Number,Title,Paragraph,UpdatedBy,IsDeleted
F1827686-A503-4717-AECD-10C3D737CD02,52.216-24,Limitation of Government Liability. (See Note 1.),16.603-4(b)(2),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
5B8571F4-A14B-40AD-B80E-10EB9CD211E9,52.215-9,Changes or Additions to Make-or-Buy Program.-Alternate II,15.408(a)(2),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
4B5E9511-F25F-49B9-993C-11022B69321A,52.249-2,Termination for Convenience of the Government (Fixed-Price).-Alternate II,49.502(b)(1)(iii),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
A0C45530-9591-4ACB-A18A-110653F7C572,52.229-10,State of New Mexico Gross Receipts and Compensating Tax.,29.401-4(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
CDEAFCDC-4EE8-42A6-B62C-111CC8AD2859,52.247-9,Agreed Weight—General Freight.,47.207-4(a)(1),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
362F3D8D-5BA0-42F8-924E-1123B45DAE00,52.226-2,Historically Black College or University and Minority Institution Representation.,26.304,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
6CF8CE1C-8E8F-4AF2-A9A9-11FB42CAB54C,52.219-9,Small Business Subcontracting Plan.,19.708(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
3AFBDAA9-7706-40EE-B6A9-12120DDA273F,52.225-17,Evaluation of Foreign Currency Offers.,25.1103(d),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
C5DB4844-CF62-4F5D-B371-12581E23B196,52.246-17,Warranty of Supplies of a Noncomplex Nature.-Alternate V,46.710(a)(6),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
D9DC7CE4-8FFF-448D-A68A-12E19231737B,52.215-2,Audit and Records—Negotiation.-Alternate I,15.209(b)(2),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
CBEF736E-1A26-4F93-8320-13705C8A5AC6,52.242-17,Government Delay of Work.,42.1305(d),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
162AB8A8-C301-47AC-ABC8-14238BD9AE07,52.247-68,Report of Shipment (REPSHIP).,47.208-2,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
ACEE48F4-1CD1-4191-A221-14282B54282B,52.232-16,Progress Payments.-Alternate II,32.502-4(c),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
1845BE13-C719-48B8-8AD5-14BD2E7ED0A0,52.209-4,First Article Approval—Government Testing.-Alternate I,9.308-2(a)(1) and (b)(2),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
7F5A7F62-D7A8-4F3C-B3FB-14DC4B2CCC9D,52.225-5,Trade Agreements.,25.1101(c)(1),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
32025E61-0D54-4FAF-9DA4-157A8EC40EAD,52.213-1,Fast Payment Procedure.,13.404,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
AED58E98-4A41-4A24-938C-171146D059B4,52.247-14,Contractor Responsibility for Receipt of Shipment.,47.207-5(d),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
9FC750FB-2892-49DE-BAE5-177EDDA9142B,52.229-1,State and Local Taxes.,29.401-1,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
417F084C-177B-478A-A7B5-17AFD15ECE72,52.236-28,Preparation of Proposals—Construction.,36.52,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
68F1BD0F-2AB4-46F3-85A1-17DBC6580658,52.232-21,Limitation of Cost (Facilities).,32.705-2(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
41E39ECC-D3AA-4B46-ABBB-1840784D8F0A,52.245-10,Government Property (Facilities Acquisition).,45.302-6(c),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
831CD00A-6AAB-4F7C-ABE3-18715FCB6027,52.204-2,Security Requirements.-Alternate I,4.404(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
95699215-0200-4B82-8ACE-18ADA011DDC3,52.222-36,Affirmative Action for Workers with Disabilities.,22.1408(a),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
BA158D58-8F58-46D2-AE0F-18AF6960C845,52.227-16,Additional Data Requirements.,27.409(h),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
31C149E9-CF4D-423C-815A-1A0721391FDB,52.243-2,Changes—Cost Reimbursement.,43.205(b)(1),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
77CC5A9E-A023-4CC8-BC0B-1A4E3AF3A22F,52.222-18,Certification Regarding Knowledge of Child Labor for Listed End Products.,22.1505(a),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
2040EB98-0E60-4855-8FC8-1A53C6F668CE,52.245-4,Government-Furnished Property (Short Form).,45.106(d),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
944DF2C9-67FA-4831-9DB5-1A8CC6E9B0B9,52.245-8,Liability for the Facilities.,45.302-6(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
5D1B0FA8-B048-46F6-BADE-1CBB2C9CEE99,52.225-12,Notice of Buy American Act Requirement—Construction Materials under Trade Agreements.Alternate I,25.1102(d)(2),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
1B141513-92DC-43F5-98C3-1CF49FEB196C,52.227-3,Patent Indemnity.,27.203-1(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
1A134071-EF3A-494A-9095-1D13EA29C1E7,52.246-2,Inspection of Supplies—Fixed-Price.,46.302,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
CB9EE4EA-8F81-4731-B67A-1D3C94E41962,52.216-26,Payments of Allowable Costs Before Definitization. (See Note 1.),16.603-4(c),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
6FB57FB6-910C-4430-9F60-1D492A3A2CA7,52.247-51,Evaluation of Export Offers.,47.305-6(e),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
0E826DDE-AA22-4BF9-8CFB-1D7F782ECBD1,52.247-47,Evaluation—F.o.b. Origin.,47.305-3(f)(2),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
88D3EDCE-D3E1-4788-9CE1-1DFB4ABEB80B,52.211-10,"Commencement, Prosecution, and Completion of Work.-Alternate I",11.404(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
ACB6CCD6-C8B1-4664-84AA-1E2DFF1E616E,52.214-13,Telegraphic Bids.,14.201-6(g)(1),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
D2E2520C-2472-491E-9F1A-1E846723DCC1,52.232-18,Availability of Funds.,32.705-1(a),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
434C50FE-62F8-4CFB-A719-1ED750EBB82E,52.223-9,Estimate of Percentage of Recovered Material Content for EPA Designated Products.,23.406(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
6A322877-DBCE-4899-A0C3-1FEB3D356B60,52.204-8,Annual Representations and Certifications,4.1202,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
F3D33861-145F-44A9-A6FF-205E833551F2,52.232-7,Payments under Time-and-Materials and Labor-Hour Contracts.-Alternate II,32.111(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
B9410770-C6EA-4FC3-9E29-20ADAA901E88,52.222-27,Affirmative Action Compliance Requirements for Construction.,22.810(f),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
CB69B222-2089-4B36-BB00-20E41D4E4887,52.207-1,Notice of Standard Competition. 3,7.305(a),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
D2765847-4539-4673-BA34-20E801D04874,52.247-43,"F.o.b. Designated Air Carrier’s Terminal, Point of Exportation.",47.303-15(c),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
636AF420-D59D-441C-9DB2-20E89A88A51A,52.247-15,Contractor Responsibility for Loading and Unloading.,47.207-5(e),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
10AB9C80-A177-4037-86DE-20F20777E869,52.219-2,Equal Low Bids.,19.308(c),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
3EDF39DC-5E57-43DD-A87B-2100D9E8C7C6,52.243-6,Change Order Accounting.,43.205(f),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
2B3FEE83-1987-40E3-8605-212BDBD4E184,52.247-65,"F.o.b. Origin, Prepaid Freight—Small Package Shipments.",47.303-17(f),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
A6EDA180-3AA5-409A-AFCC-212CEC82AAAA,52.225-11,Buy American Act—Construction Materials under Trade Agreements.Alternate I,25.1102(c)(3),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
910F1C3B-86AB-4933-A14C-21564FE6BB66,52.222-14,Disputes Concerning Labor Standards.,22.407(a),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
DA47D2E2-BFE6-4DD9-92B2-2219E34CFEE3,52.247-2,"Permits, Authorities, or Franchises.",47.207-1(a),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
ABF4885C-9DCD-4FD2-BE3F-225D57EC25CA,52.227-3,Patent Indemnity.-Alternate III,27.203-2(c),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
CEDD0909-F4EE-48D4-AAC9-226E0227E123,52.219-22,Small Disadvantaged Business Status.-Alternate I,19.308(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
D378BFD7-8845-404C-BBE3-227AFF1BAA3C,52.249-6,Termination (Cost-Reimbursement).-Alternate IV,49.503(a)(4),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
FB18C8D9-F7BA-46F4-904D-22EE594611B2,52.213-3,Notice to Supplier.,13.302-5(c),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
35F52C67-9159-4D37-8CF2-22F23F6F4574,52.245-7,Government Property (Consolidated Facilities).,45.302-6(a),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
4105EF04-7B8A-4A64-821F-22F4AED3A834,52.249-6,Termination (Cost-Reimbursement).-Alternate V,49.503(a)(4),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
23E51C49-63E5-4548-8872-2312EE55DAF7,52.217-8,Option to Extend Services.,17.208(f),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
20B01D2B-104E-4510-AD94-240A74DDC3B6,52.214-14,Place of Performance—Sealed Bidding.,14.201-6(h),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
5BEA97F6-3479-4BA5-9B87-24222801A73A,52.215-14,Integrity of Unit Prices.-Alternate I,15.408(f)(2),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
017B7149-07BD-49D9-97CD-242BDFE571EE,52.207-4,Economic Purchase Quantity—Supplies.,7.203,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
C464F117-0BD9-4713-8556-246FB446CF52,52.230-7,Proposal Disclosure—Cost Accounting Practice Changes.,30.201-3(c),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
A5A84167-F038-4E81-850B-25371F072F93,52.227-19,Commercial Computer Software—Restricted Rights.,27.409(k),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
FC87E941-C0C9-41E2-AC1A-25B1BFEF1BED,52.246-24,Limitation of Liability—High-Value Items.-Alternate I,46.805(a),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
BF05DCA9-8563-42D8-B2CF-268450DD5CE3,52.249-3,"Termination for Convenience of the Government (Dismantling, Demolition, or Removal of Improvements).",49.502(b)(2),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
B65D263B-A1BC-4ED8-AF30-26BAFEFDE4BF,52.247-50,No Evaluation of Transportation Costs.,47.305-5(c)(1),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
4D686465-C793-4F3F-BABE-27244CB03A58,52.215-3,Request for Information or Solicitation for Planning Purposes.,15.209(c),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
BA14B4B8-782E-4834-BE1D-273D99501D1A,52.216-6,Price Redetermination—Retroactive.,16.206-4,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
14CCA37C-424B-4B14-BD36-274314457843,52.214-22,Evaluation of Bids for Multiple Awards.,14.201-6(q),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
BFB9C3E4-68CE-43F0-BB7E-27774B7E1108,newFar,newFar,,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
5006BAB6-920C-4A5A-9E0D-278D930F7598,52.232-27,Prompt Payment for Construction Contracts.,32.908(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
1B064FAF-5261-4B14-A381-27E45F01F308,52.225-3,Buy American Act—Free Trade Agreements—Israeli Trade Act.-Alternate I,25.1101(b)(1)(ii),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
6B2DB110-5C19-4594-A4C5-28FDA838F302,52.229-4,"Federal, State, and Local Taxes (State and Local Adjustments).",29.401-3,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
88BFB6C3-15BE-4088-BB76-2901458D5B0B,52.252-1,Solicitation Provisions Incorporated by Reference.,52.107(a),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
0ABAED30-2073-4878-B937-2959FA39D95F,52.211-9,Desired and Required Time of Delivery.-Alternate I,11.404(a)(3),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
DC20CE27-276C-40A7-9A2C-29A58D2F9C0E,52.241-9,Connection Charge.,41.501(d)(3),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
D61FDDF1-ED18-4081-B329-2A2DA8958E56,52.230-1,Cost Accounting Standards Notices and Certification.-Alternate I,30.201-3(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
56FE3C6E-DDB3-43E8-A335-2A795F44CC89,52.212-1,Instructions to Offerors—Commercial Items.,12.301(b)(1),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
6A66CCC9-6986-4463-B0CF-2AA4587F727B,52.237-10,Identification of Uncompensated Overtime.,37.115-3,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
1FD33EFB-9BF4-42AA-AEBE-2AC27E2DC4EA,52.226-5,Restrictions on Subcontracting Outside Disaster or Emergency Area.,26.203(c),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
492A289D-8EE7-47E4-B66F-2ACDB62B1D1C,52.245-2,Government Property (Fixed-Price Contracts).,45.106(b)(1),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
50F1A0D6-5C11-48F9-9089-2B28D5D1FCE5,52.236-13,Accident Prevention.,36.513,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
3D36E059-D19A-4100-87FC-2B2ACD8C7E62,52.227-7,Patents—Notice of Government Licensee.,27.204-3(c),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
12E82CCC-23F8-4971-8FA2-2CB9C0BB66C9,52.209-3,First Article Approval—Contractor Testing.-Alternate I,9.308-1(a)(2) and (b)(2),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
0E7874B8-8F98-4691-AE6E-2D121141E0D7,52.211-11,"Liquidated Damages—Supplies, Services, or Research and Development.",11.503(a),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
BCB6B097-7E32-4E09-B472-2D31E7D513DD,52.246-19,Warranty of Systems and Equipment under Performance Specifications or Design Criteria.-Alternate I,46.710(c)(2),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
C876C5C6-3D2A-4D76-A485-2D4BB3B9F4EB,52.213-4,Terms and Conditions—Simplified Acquisitions (Other Than Commercial Items).,13.302-5(d),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
6EC990F9-C063-4F88-B1A8-2DB489237489,52.223-11,Ozone-Depleting Substances.,23.804(a),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
94BFB8B6-E81F-4152-97BD-2E4D2B41EDB4,52.214-5,Submission of Bids.,14.201-6(c)(1),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
667065CD-59CA-47C3-8C67-2EA7B1EE9D59,52.246-19,Warranty of Systems and Equipment under Performance Specifications or Design Criteria.-Alternate III,46.710(c)(4),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
7CA3F523-561B-4AB7-B11A-2F28D3E5FC6E,52.247-44,"F.o.b. Designated Air Carrier’s Terminal, Point of Importation.",47.303-16(c),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
F43F67F6-1158-4598-A75B-2F2E1EBBC230,52.247-59,F.o.b. Origin—Carload and Truckload Shipments.,47.305-16(a),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
4DE6FA3C-BCE5-4D15-99E6-2F6E91C15463,52.214-20,Bid Samples.-Alternate I,14.201-6(o)(2)(i),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
DD34A43B-3775-42B1-8461-2F9D79B81B43,52.232-8,Discounts for Prompt Payment.,32.111(b)(1),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
1E810921-BA50-4AA5-B6D4-2FFF0DB94978,52.216-15,Predetermined Indirect Cost Rates.,16.307(i),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
9DB71600-AB92-46B7-910E-3072CFB4E2F5,52.214-7,"Late Submissions, Modifications, and Withdrawals of Bids.",14.201-6(c)(3),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
4D8F6C1B-3990-4D91-B42A-307AD344DAA6,52.234-3,Notice of Earned Value Management System - Post Award IBR.,34.203(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
C9AA60C8-8499-415E-9DC2-30C8897F3068,52.215-20,Requirements for Cost or Pricing Data or Information Other Than Cost or Pricing Data.-Alternate II,15.408(l),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
0CD586D1-5F35-45BE-BB2C-30D8B4834064,52.219-1,Small Business Program Representations.,19.308(a)(1),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
CD0E7344-70D0-4C59-B058-31196A33B202,52.216-20,Definite Quantity.,16.506(c),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
FE6C44EF-0026-4F9C-8A7E-316B178575D3,52.236-12,Cleaning Up.,36.512,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
7C28E4BB-EEBC-4B57-B05C-323E6AB6A5D8,52.245-6,Liability for Government Property (Demolition Services Contracts).,45.106(g),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
BD56ED2E-297D-4873-9820-32431D7FDF5B,52.203-12,Limitation on Payments to Influence Certain Federal Transactions.,3.808(b),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
000D59FC-A4AA-46E8-BD82-32867A19F2F4,52.216-23,Execution and Commencement of Work. (See Note 1.),16.603-4(b)(1),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
9D89700C-616C-499E-8EBD-32E170E18238,52.232-36,Payment by Third Party.,32.1110(d) and (e)(3),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
3CBE741F-32B1-40FD-BA54-330788F0D948,52.232-16,Progress Payments.,32.502-4(a),73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
C3963101-9641-4978-ADF2-33A638086ED3,52.208-8,Required Sources for Helium and Helium Usage Data.,8.505,73526DCB-3D7E-48C0-B4A0-4BE20AE3F85C,0
