NAICSGuid,Code,Title
{61EB5F32-CB6F-43A4-ABD6-069F4CEEE505},81232,Drycleaning and Laundry Services (except Coin-Oper
{B7DFE0B9-E00F-4934-AED4-06A44629435D},446130,Optical Goods Stores
{4309D0DF-A7CF-499C-9301-06C5F1906138},922190,"Other Justice, Public Order, and Safety Activities"
{B212E52C-FD4C-4524-85BD-06D1B9A3EA9B},423810,Construction and Mining (except Oil Well) Machiner
{6EBE27D9-C7BA-4C2F-88C4-06E32FBC375B},111421,Nursery and Tree Production
{DFADD78E-C03A-444E-B0B0-06EFDD2EF8CA},1132,Forest Nurseries and Gathering of Forest Products
{0429B376-F371-4A09-A7F9-06F2B82E0A4C},52519,Other Insurance Funds
{DA426480-B52C-4F47-B48E-06F42569533A},3321,Forging and Stamping
{D1350F3F-878E-423B-A02C-06F8673A7C04},32211,Pulp Mills
{52947301-2DC8-4951-8B20-070EE8316D97},424710,Petroleum Bulk Stations and Terminals
{951D2193-AFED-49B7-9E40-0723D10BFB33},11116,Rice Farming
{9414CCC3-A274-4D9E-9F8D-073B3A322699},311514,"Dry, Condensed, and Evaporated Dairy Product Manuf"
{1C699660-5D3F-4E90-BC1E-0741D6C3D154},312112,Bottled Water Manufacturing
{65E24B27-D612-45B1-8FB4-0743669A3400},447,Gasoline Stations
{DC5C1E87-B54F-4DE3-A07E-0752A82BA120},541214,Payroll Services
{2F7B3633-BB29-4938-B815-075B61849C74},326291,Rubber Product Manufacturing for Mechanical Use
{75FCC8A1-ABB4-4F7E-9632-079250407985},48711,"Scenic and Sightseeing Transportation, Land"
{BD594C52-C91D-4427-9673-07B7F7C550CA},522298,All Other Nondepository Credit Intermediation
{9CE50E43-C560-413D-8590-07B86F776B98},3211,Sawmills and Wood Preservation
{44A24134-F372-4FCE-A756-07B9A7995689},445299,All Other Specialty Food Stores
{E7E44A59-AEDE-42F9-BBF6-07D2A16A4FE1},423410,Photographic Equipment and Supplies Merchant Whole
{E0B5FE8E-0B80-416E-8CF3-07EADD885BD9},31321,Broadwoven Fabric Mills
{397FA174-FA51-4A47-B167-0823285FA61F},32619,Other Plastics Product Manufacturing
{8283391C-32DD-474C-AF0D-08348B2D761B},424130,Industrial and Personal Service Paper Merchant Who
{75077F14-10BA-4522-8C4D-08C68106B584},443141,Household Appliance Stores
{CA59D40E-D569-4A00-AC33-093F77B72901},925120,Administration of Urban Planning and Community and
{97B422D5-7001-4F7F-A525-094E2BBD081A},331313,Alumina Refining and Primary Aluminum Production
{1C4C53BE-754D-4058-B643-09688B81781D},488,Support Activities for Transportation
{ACE097F1-ED8E-4F27-A9F1-09724AE348B8},71,"Arts, Entertainment, and Recreation"
{F16F300D-90D8-42E0-B34E-0985553F2FB4},6244,Child Day Care Services
{F9EB7193-EF89-454D-AF67-098BF37D7675},923,Administration of Human Resource Programs
{5BD66F29-2E40-48C6-9E10-099D9105EE8D},61162,Sports and Recreation Instruction
{8DC33F80-8673-478B-926F-09DADAD086E3},3329,Other Fabricated Metal Product Manufacturing
{2B2D2C7E-1346-4A44-839E-09DC2142F32B},42446,Fish and Seafood Merchant Wholesalers
{512E90FA-6D42-41AC-A23E-09F8F94E3FE2},212210,Iron Ore Mining
{A44FD89F-F038-4D40-AF17-0A21CA117B7D},315,Apparel Manufacturing
{88054A19-E8E5-4FEC-AE1B-0A22BA257B0C},327310,Cement Manufacturing
{BC61424D-3724-4B0F-9E18-0A246ECB64F1},49221,Local Messengers and Local Delivery
{71F1C03F-2E30-4FB5-AB9F-0A31D00AC443},423430,Computer and Computer Peripheral Equipment and Sof
{BCBCDE01-05A1-4F1F-90FB-0A334F1BA176},541360,Geophysical Surveying and Mapping Services
{AE2BF1D9-CCF0-4759-ADE0-0A6B2CBA7E17},51919,All Other Information Services
{51088BE0-A736-4F56-896B-0A6C3BEA0E80},321991,Manufactured Home (Mobile Home) Manufacturing
{F4573A21-1CDB-497C-A3E8-0A8120233ABD},92312,Administration of Public Health Programs
{1056D41D-96B5-4757-B2A6-0B09D28970CE},423940,"Jewelry, Watch, Precious Stone, and Precious Metal"
{6E1FED38-FC8F-4D88-B3D6-0B1C0D0B3045},926110,Administration of General Economic Programs
{E1AF925F-7ACF-47AD-BFA2-0B5AE34BE58E},541713,Research and Development in Nanotechnology
{BE4713EA-2C99-4AE0-BBE9-0B72FA49B2B6},33512,Lighting Fixture Manufacturing
{9FE1339B-BBAA-4A86-B9F3-0B80CE7A7A0B},53228,Other Consumer Goods Rental
{F1C23EA2-0A73-45A1-8C84-0B97E7A3A1DE},5232,Securities and Commodity Exchanges
{332D169E-ED14-4C00-AD3A-0BB31C4BFF4E},21231,Stone Mining and Quarrying
{CF7D1908-70B2-416B-A7CE-0BCA73F9D039},31331,Textile and Fabric Finishing Mills
{5443F86B-65BD-4CF4-9C39-0BCAFA733DB3},81293,Parking Lots and Garages
{DC47A9D0-5A3E-4578-BAFF-0BECDB0CB704},9241,Administration of Environmental Quality Programs
{D4DCF9EF-1738-4617-BF2A-0C0A9904E674},62142,Outpatient Mental Health and Substance Abuse Cente
{C1A73743-7A34-49CE-9982-0C2AC58D4FD2},33431,Audio and Video Equipment Manufacturing
{014FC1CE-6A50-460C-899B-0C306A632BEA},481212,Nonscheduled Chartered Freight Air Transportation
{4BB0FAB7-A139-4798-8969-0C78BEE49200},611513,Apprenticeship Training
{B34E56B3-78CB-4A63-A81E-0C8AE644D1CC},326122,Plastics Pipe and Pipe Fitting Manufacturing
{FAE5B27E-53E8-4D68-B3B9-0C96B991AE46},32121,"Veneer, Plywood, and Engineered Wood Product Manuf"
{88D9B935-177F-4986-84BB-0CB890E8F59A},42481,Beer and Ale Merchant Wholesalers
{24EFAB93-4587-4DE7-BAA6-0CC519A7A716},33131,Alumina and Aluminum Production and Processing
{113CE6B8-F678-44DF-99D7-0CE544F45C03},336390,Other Motor Vehicle Parts Manufacturing
{6CF2D95D-A134-459B-B6FF-0D21D1AB88AE},31519,Other Apparel Knitting Mills
{AFE11183-FDC5-49B6-A7E4-0D5AEF546C41},1152,Support Activities for Animal Production
{741D435C-5E7B-46F9-B8E0-0D6B9DCA4C7D},44831,Jewelry Stores
{0E03FB95-16C6-4450-8929-0D842A61EA58},327410,Lime Manufacturing
{20F64CA6-885F-4370-ACBF-0D8B44BB4112},711110,Theater Companies and Dinner Theaters
{58ED92D9-93B5-4525-BC47-0DA65A9378A2},488330,Navigational Services to Shipping
{5A309F5E-C2FD-469A-9057-0DAED9ED735F},6219,Other Ambulatory Health Care Services
{EE73C095-AB3D-4B7D-BBD7-0DB8D5D9499D},713210,Casinos (except Casino Hotels)
{5C31C876-2AB2-4DD1-B6CC-0DC40A4A7BC3},336213,Motor Home Manufacturing
{436A15EC-EF4D-4C4A-855E-0DD43E5742C1},81331,Social Advocacy Organizations
{F02CF020-EECA-4E0F-ADB6-0DE28EC89074},511,Publishing Industries (except Internet)
{41A977D5-CAE2-4349-AA7F-0E31763CF3D4},236,Construction of Buildings
{D80E27A2-E08A-472F-9E18-0E329E8169E5},515,Broadcasting (except Internet)
{316A1F2D-D03B-4F6C-8004-0E349010C44C},325992,"Photographic Film, Paper, Plate, and Chemical Manu"
{DABCF6E6-7EBF-4DD0-9156-0E3E3E2871C2},11331,Logging
{D6182C47-134C-4DA7-8BCB-0E41653710EA},561740,Carpet and Upholstery Cleaning Services
{27A0CBEB-8128-4894-BB66-0E431230C7C5},491,Postal Service
{3028FE06-6530-4C8D-96A1-0E715ABA8986},927110,Space Research and Technology
{7207C274-6557-4DC5-B7B6-0E8D736340CC},336330,Motor Vehicle Steering and Suspension Components (
{98A7E04D-831C-4218-B4D9-0E973A90A4C2},23712,Oil and Gas Pipeline and Related Structures Constr
{7B3A6A9D-0025-4580-B132-0EB0B975775B},327993,Mineral Wool Manufacturing
{686A51D1-7011-4F7A-8562-0EC68246EA4C},62422,Community Housing Services
{33B971A9-3CAB-451C-BAC5-0ED384BC457A},212230,"Copper, Nickel, Lead, and Zinc Mining"
{AF5DAF94-D744-4979-87A3-0F7C9C000381},56141,Document Preparation Services
{F1BB91E8-C7DD-404A-8A1E-0F8725A2FA01},3272,Glass and Glass Product Manufacturing
{7E9C093A-5573-4691-96B0-0FA76A924775},212322,Industrial Sand Mining
{4D6737EE-6252-41C4-A11D-105AC80098DB},488410,Motor Vehicle Towing
{EADD902D-5043-400B-8AE8-105DA1165A2E},448130,Children's and Infants' Clothing Stores
{2B2966BC-ABB4-40B8-AA88-107A7640DBEE},541611,Administrative Management and General Management C
{F148513A-D5DB-4786-A060-10B4ADD5AFEB},561622,Locksmiths
{63DDF2E3-B14C-4C30-9CB4-112651CBB45C},45411,Electronic Shopping and Mail-Order Houses
{F87AF5F8-B37F-43CB-B5B4-112C8038BC13},562920,Materials Recovery Facilities
{48C8C6E4-0752-40A6-A94A-113229592E8D},54135,Building Inspection Services
{601592DB-1221-40D6-9D6A-11558F7C6639},3364,Aerospace Product and Parts Manufacturing
{DA6E1C91-BB58-4536-A405-1171EF487C3A},42459,Other Farm Product Raw Material Merchant Wholesale
{5E23C954-992F-4E8D-8F1F-11878069C03C},6223,Specialty (except Psychiatric and Substance Abuse)
{E6635AF1-3053-4B04-81DA-1195F633394E},4869,Other Pipeline Transportation
{B3B4F47F-D31D-4B08-9A7F-11DE66EB5A74},2371,Utility System Construction
{D8D22E02-CE32-4DE9-A7B0-12162DE5FF7E},561311,Employment Placement Agencies
{9B85A683-31E1-4210-8003-12200B51961D},4512,Book Stores and News Dealers
{85829EB2-F346-43C8-A798-12352B4D4F4B},81231,Coin-Operated Laundries and Drycleaners
{73CAC358-1663-4EE5-B699-125E6560AFC9},3312,Steel Product Manufacturing from Purchased Steel
{982AA7F0-7B4F-4D90-A42A-12BDB40A13B0},42374,Refrigeration Equipment and Supplies Merchant Whol
{D1C08202-CACC-4E5E-BF37-12CE2F9F2954},512199,Other Motion Picture and Video Industries
{D6885763-9484-4AAB-A931-12F9DEB7BE11},811219,Other Electronic and Precision Equipment Repair an
{BFDE71DB-2925-452F-A138-1391D97F95F3},921150,American Indian and Alaska Native Tribal Governmen
{A9E2226E-2E79-438F-ADF7-13A826BD8999},713110,Amusement and Theme Parks
{B0CF97E0-44AC-4900-B29D-13AE38782827},33636,Motor Vehicle Seating and Interior Trim Manufactur
{D8EAA90C-0851-453D-A7A5-13AF56574C4E},33152,Nonferrous Metal Foundries
{320241DA-877A-4218-8FE1-13B5C24AC5B0},522210,Credit Card Issuing
{507D4B3A-F0E9-469B-A86F-13C01AE49756},322,Paper Manufacturing
{A570BF5F-241C-4549-BA4A-13E555950202},332439,Other Metal Container Manufacturing
{079D5FE8-35B1-457A-BBC9-1402D4998183},11232,Broilers and Other Meat Type Chicken Production
{0E54DD9A-72C0-46E2-B6DF-1403680DBE69},4522,Department Stores
{19C7A98D-6583-4769-9DED-14279BFE5E65},561330,Professional Employer Organizations
{939DC21D-BAF8-4F67-A88F-142F711B8C58},322230,Stationery Product Manufacturing
{1B276DDD-7146-4792-BDDF-1485A4B02128},42386,Transportation Equipment and Supplies (except Moto
{35D56DD2-B44F-44AD-BA7A-14BFCBC62864},3115,Dairy Product Manufacturing
{3320C63A-34D0-411B-AB87-153A1F8CB6B8},4883,Support Activities for Water Transportation
{13880ADA-5D7E-4152-BB27-155DA413DF27},454110,Electronic Shopping and Mail-Order Houses
{96B9DFD0-8005-4FE6-AFC5-157EEA0BF12A},52512,Health and Welfare Funds
{5799A7B4-C7F6-4807-835C-15800777DE72},316210,Footwear Manufacturing
{5DE1EFFB-F7B8-411E-8104-15A63D30AC4F},5259,Other Investment Pools and Funds
{9353BDA5-B9F4-4859-A465-15C879BAB941},5182,"Data Processing, Hosting, and Related Services"
{798EACA5-B66D-4631-8DD9-15D54163C37A},32791,Abrasive Product Manufacturing
{D10DBAE7-635E-43DF-9DD0-16317C0DEB68},45111,Sporting Goods Stores
{8B458823-29CC-4788-BE4A-1638956DF09E},4451,Grocery Stores
{2B179B79-5418-437B-989E-1643639494DA},62431,Vocational Rehabilitation Services
{3DE55770-2C79-45C7-98DB-1648B5AA1417},112320,Broilers and Other Meat Type Chicken Production
{B3AD9395-4F47-472C-A8E4-16ACAD03DC3B},331410,Nonferrous Metal (except Aluminum) Smelting and Re
{F058BC0D-D840-4AF9-AEBA-172290DCD5FF},333996,Fluid Power Pump and Motor Manufacturing
{79D182E3-1CF5-4545-B874-17440517CE96},336310,Motor Vehicle Gasoline Engine and Engine Parts Man
{633A3037-D340-4251-B817-1787BD09AFD8},423860,Transportation Equipment and Supplies (except Moto
{1DAF1ED1-1CAC-4FBA-BE29-17DA7AD0F1B9},81411,Private Households
{49C52757-1D94-4B0C-80E9-1834A3C35242},624190,Other Individual and Family Services
{B22447CC-89BB-47D3-BA10-183CCA5E2BD8},334511,"Search, Detection, Navigation, Guidance, Aeronauti"
{420CCC8B-6643-4B43-86B5-186299E87FD7},325520,Adhesive Manufacturing
{A9A4C76B-ABCC-469E-8D99-18783CA71F5E},92211,Courts
{8DFC8799-E4FA-4121-880C-187E46ED4E06},42471,Petroleum Bulk Stations and Terminals
{3E250A46-B024-4193-8461-18833F2342D2},621999,All Other Miscellaneous Ambulatory Health Care Ser
{894A2DFE-5F7C-4B98-BCDF-188C54B17931},311999,All Other Miscellaneous Food Manufacturing
{66C00F14-4EA4-4D09-923E-18BF31AE4C63},3361,Motor Vehicle Manufacturing
{B6CD1399-C3E1-4A9E-9814-18D823EE61A3},44832,Luggage and Leather Goods Stores
{27DF9C01-0879-42C7-A414-18EE7C42D0BC},3353,Electrical Equipment Manufacturing
{5E188478-2BE5-408F-B65D-19177833C89E},3335,Metalworking Machinery Manufacturing
{F4F561FB-6611-4254-92DB-1922DC8F81F0},236210,Industrial Building Construction
{C9B30C93-ADCF-4B28-BED9-192BF1981804},51911,News Syndicates
{6B2E8F78-94FA-4286-BFDA-19425692930F},115310,Support Activities for Forestry
{821B397B-5D28-4C2A-835D-198DDFC418AD},62133,Offices of Mental Health Practitioners (except Phy
{B088D262-6CBB-47BA-8BA7-19A441F1609C},311513,Cheese Manufacturing
{B5C59EF1-D49D-49D9-B60F-19C98BBA2FE2},333249,Other Industrial Machinery Manufacturing
{ECA08219-4D95-4CC7-AAF0-19E01D33AE09},52413,Reinsurance Carriers
{05C2AA0A-07EA-4691-ADE3-19E1AE15784E},71213,Zoos and Botanical Gardens
{2392075D-E4EE-4193-838E-1A1634436C1F},31152,Ice Cream and Frozen Dessert Manufacturing
{685F402E-6451-4ACD-A746-1A17DD071215},4859,Other Transit and Ground Passenger Transportation
{59D25CE6-7BEE-4BBB-A309-1A3FC0571354},448110,Men's Clothing Stores
{06FFF981-9537-4924-8F8B-1A438B15634A},722515,Snack and Nonalcoholic Beverage Bars
{45D97347-40AE-4AB0-A629-1A587CB4D1AC},624230,Emergency and Other Relief Services
{951C564B-8046-401E-8C50-1A6E3678C2ED},45431,Fuel Dealers
{80E90C29-BC9B-4F1A-9C42-1A7C14A8B913},72,Accommodation and Food Services
{E9D5F399-C2E7-43F1-B37F-1A7FD875F8F5},31131,Sugar Manufacturing
{4C4EAA2A-B837-4AD5-8681-1A96551F8260},336414,Guided Missile and Space Vehicle Manufacturing
{EF636A98-26CB-4180-8934-1AB87D6FB719},334516,Analytical Laboratory Instrument Manufacturing
{ADD40F4E-BAF2-4C2D-94A2-1ABDE6321945},7139,Other Amusement and Recreation Industries
{914076CC-034F-4739-A760-1ABEF867B8CE},335220,Major Household Appliance Manufacturing
{5250A3F3-AC26-456B-8E5D-1AC38F242063},31193,Flavoring Syrup and Concentrate Manufacturing
{A96B7FCE-A61B-4AF6-9CFB-1ACADD33351E},4921,Couriers and Express Delivery Services
{179C59D2-7FE8-4B69-AD1A-1AE71453CCBD},4922,Local Messengers and Local Delivery
{38D0405C-950B-43F2-BB2E-1AE84BBC5595},31323,Nonwoven Fabric Mills
{80666618-C00D-4A13-8AFF-1AF0C0788952},321992,Prefabricated Wood Building Manufacturing
{4565DB6C-B2DF-4180-A845-1B1A37258119},92511,Administration of Housing Programs
{61D51C72-33BA-4C1E-BDE1-1B2C99B2C2CD},112930,Fur-Bearing Animal and Rabbit Production
{97B5CAC8-C19D-4B03-934F-1B58CEE04D0A},33331,Commercial and Service Industry Machinery Manufact
{A2C042B1-0603-469B-9F04-1B707BFCDBDF},112910,Apiculture
{ABF2F677-0E4B-4902-AA73-1B72AC508A28},32223,Stationery Product Manufacturing
{00987D20-50CB-48DB-869E-1B976C7D8890},1141,Fishing
{4FAE8F6A-37F6-4483-8FA0-1BA8BA597C3F},486,Pipeline Transportation
{AE3C38D0-0A87-40C4-B1F7-1BC9B199698D},81143,Footwear and Leather Goods Repair
{A1783C85-BFD2-45BF-820A-1BCA23C34B79},335311,"Power, Distribution, and Specialty Transformer Man"
{D67A06FA-C54F-4E35-8333-1BCAA02F9E80},325311,Nitrogenous Fertilizer Manufacturing
{B81D4789-CADF-4610-95F1-1BE8BC77802F},524,Insurance Carriers and Related Activities
{87A5B8D2-F1AE-4B9F-A7E4-1C08C9B664E1},531320,Offices of Real Estate Appraisers
{A87BD83E-5937-43A5-B1DF-1C0B7D0E8F44},42482,Wine and Distilled Alcoholic Beverage Merchant Who
{A5583944-4A00-404E-8422-1C0E0A76B9CB},532120,"Truck, Utility Trailer, and RV (Recreational Vehic"
{3EDB84AA-D4F3-4A4E-A895-1C259E139A73},42311,Automobile and Other Motor Vehicle Merchant Wholes
{8D5B9944-9DEC-44AB-9E24-1C3ECA17A875},336120,Heavy Duty Truck Manufacturing
{A04F7596-345E-4186-BE35-1C66CFA823C7},424410,General Line Grocery Merchant Wholesalers
{5F8C024D-09C9-442A-8B5D-1C6D62D684D4},333242,Semiconductor Machinery Manufacturing
{7AAE87ED-7C19-4327-A731-1C7CD6256A8B},42451,Grain and Field Bean Merchant Wholesalers
{67CF9993-EC68-49D6-BD54-1C9553020804},424590,Other Farm Product Raw Material Merchant Wholesale
{59459141-7636-4314-AF19-1CD9F0234A47},333318,Other Commercial and Service Industry Machinery Ma
{5B997918-B14A-4E1D-AFFE-1CEC094BC12F},42499,Other Miscellaneous Nondurable Goods Merchant Whol
{EBF63C04-32E4-41B6-9DF9-1CF37783FF79},6239,Other Residential Care Facilities
{81AD908D-3C0F-45E0-9565-1D2AAB4C3991},423450,"Medical, Dental, and Hospital Equipment and Suppli"
{A040BAA3-0276-4067-85AE-1D8CB099162C},424330,"Women's, Children's, and Infants' Clothing and Acc"
{D628BC3E-C3C6-4E48-92C9-1DAC7CCFC868},339930,"Doll, Toy, and Game Manufacturing"
{A91A5C68-ADB8-4A4F-9885-1DADE41F6DCF},32739,Other Concrete Product Manufacturing
{2C887104-B122-45B4-85B7-1DBAF44C8572},324191,Petroleum Lubricating Oil and Grease Manufacturing
{96E03C7D-FF61-42C6-B0A3-1DD12B11157A},48541,School and Employee Bus Transportation
{5A6A52E3-65BD-428A-A5CD-1E220DF1683C},3133,Textile and Fabric Finishing and Fabric Coating Mi
{E8961990-C31C-41FB-8F06-1E3EB1C7AC83},327991,Cut Stone and Stone Product Manufacturing
{FA5389B6-B62A-446B-871E-1E3FED907AE4},924120,Administration of Conservation Programs
{B01654A4-00B8-4DA2-B57B-1E40EE6D9165},54143,Graphic Design Services
{5BDD6B1A-9900-4315-A6AE-1E8E11CD8CA2},611511,Cosmetology and Barber Schools
{9DF5E584-78DD-4356-8CA5-1EBD73ED5AFD},448150,Clothing Accessories Stores
{39122E0F-7605-4E98-A2DE-1EBF9F0782A6},531190,Lessors of Other Real Estate Property
{3643171C-3A25-431B-A756-1EEF661B0838},922120,Police Protection
{3DDEB02E-5485-4F43-9840-1F08785D147D},334412,Bare Printed Circuit Board Manufacturing
{611BE7F9-4DBB-484F-A938-1F179E2008CD},561431,Private Mail Centers
{E6525C40-4D79-4BBD-9592-1F46816989D7},3159,Apparel Accessories and Other Apparel Manufacturin
{09A8AD7F-3C9A-4739-8CD0-1F52965A0607},333612,"Speed Changer, Industrial High-Speed Drive, and Ge"
{3355997B-BCA5-42F8-A9C4-1FA9050A6CF4},111991,Sugar Beet Farming
{406B866E-5413-48C0-AE3F-1FB107AA2E97},1125,Aquaculture
{C7BFF9E0-F5D8-4056-B457-1FBEAC130036},339112,Surgical and Medical Instrument Manufacturing
{4B3609A7-289C-40B2-838B-1FECDA0A5220},54132,Landscape Architectural Services
{FA0FEC86-68B8-4380-AE1E-200592E96AA2},32191,Millwork
{86A26C71-51C4-4B33-95ED-2025D4897210},49319,Other Warehousing and Storage
{647D4B04-03A4-431D-9DF8-203065A3F860},424480,Fresh Fruit and Vegetable Merchant Wholesalers
{A51B505A-9415-4216-8CFE-20407D97F6D2},336415,Guided Missile and Space Vehicle Propulsion Unit a
{6D0F90CA-4833-42C1-8B5E-204E44C400D3},212311,Dimension Stone Mining and Quarrying
{1AB91B1A-04B5-441B-960B-20520BB75A43},3311,Iron and Steel Mills and Ferroalloy Manufacturing
{A13B7FD5-A390-4610-8C2A-2056ADA64B6C},541810,Advertising Agencies
{863419BD-5545-41AA-8D18-208290AF8585},81233,Linen and Uniform Supply
{06C38900-C141-42E4-955E-20AF90F4D0CB},811420,Reupholstery and Furniture Repair
{DC592ECC-A4DD-4B8C-A6F8-20D65A3A40E2},713920,Skiing Facilities
{0816020A-9F8F-45E2-8179-20DAD3541812},532282,Video Tape and Disc Rental
{51F2F047-C10F-4EDC-8695-20E342859475},56211,Waste Collection
{AC45C754-8FDB-4762-B74E-20F7C06D58DD},23811,Poured Concrete Foundation and Structure Contracto
{8C48FCA7-B56B-40AA-AF4F-2115F251C135},485999,All Other Transit and Ground Passenger Transportat
{7630A6C4-9FEB-419E-B08A-211FA94A1B86},424930,"Flower, Nursery Stock, and Florists' Supplies Merc"
{10440CB6-467A-47F2-AECA-217699C0DBE1},72119,Other Traveler Accommodation
{09EE793C-1D7B-4E27-BF3D-2181A78129DF},31324,Knit Fabric Mills
{EE879060-ECAF-4CBA-BC0E-21F83CB1DD2D},44812,Women's Clothing Stores
{DEFBAEE9-8427-49EC-8A22-2230BF4A4AF9},515210,Cable and Other Subscription Programming
{F3A62481-E418-4F5D-AE40-22414EA6F780},32532,Pesticide and Other Agricultural Chemical Manufact
{A2D87002-85F1-4417-BDAF-228D43A06A79},6216,Home Health Care Services
{20BF4B9D-7298-4B2D-ACE1-22D12DF70A9E},811113,Automotive Transmission Repair
{2AAC656F-1D78-4135-90FE-23143F423283},812320,Drycleaning and Laundry Services (except Coin-Oper
{76771B38-E9BC-4E1C-B6C5-231C9D2CA990},423910,Sporting and Recreational Goods and Supplies Merch
{79FB9D0B-8C0B-47E8-A056-2327CD943D34},332721,Precision Turned Product Manufacturing
